Indicator,Country,Gender,Year,Val
(EU) Projected old age dependency ratio in 2060,Luxembourg,combined,2017,44.3
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2008,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2009,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2010,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2011,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2012,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2013,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2014,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2015,12.0
"(EU) Pure alcohol consumption, litres per capita",Luxembourg,combined,2016,11.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2008,217.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2009,227.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2010,218.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2011,233.9
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2012,226.6
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2013,221.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2014,214.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,male,2015,196.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2008,124.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2009,127.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2010,137.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2011,142.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2012,123.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2013,136.7
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2014,107.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,female,2015,103.6
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2008,171.5
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2009,178.4
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2010,178.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2011,189.1
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2012,176.2
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2013,179.8
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2014,162.0
"(EU) Standard death rates, all causes of death among population aged 0-64 years per 100 000",Luxembourg,combined,2015,151.3
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2008,1217.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2009,1255.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2010,1273.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2011,1348.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2012,1179.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2013,1118.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2014,1191.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,male,2015,1119.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2008,839.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2009,811.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2010,789.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2011,851.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2012,829.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2013,799.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2014,731.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,female,2015,785.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2008,992.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2009,982.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2010,977.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2011,1030.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2012,983.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2013,942.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2014,918.0
"(EU) Standard death rates, all causes of death per 100 000",Luxembourg,combined,2015,930.0
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2008,331.4
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2009,359.7
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2010,375.1
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2011,362.6
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2012,339.4
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2013,315.8
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2014,356.5
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,male,2015,284.6
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2008,203.9
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2009,220.1
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2010,196.0
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2011,207.8
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2012,214.7
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2013,196.3
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2014,194.0
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,female,2015,202.4
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2008,254.5
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2009,272.5
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2010,264.6
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2011,267.6
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2012,265.8
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2013,243.8
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2014,260.7
(EU) Standardised death rate due to cancer per 100 000 persons,Luxembourg,combined,2015,239.9
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2008,24.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2009,19.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2010,19.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2011,17.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2012,21.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2013,19.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2014,23.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,male,2015,15.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2008,9.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2009,10.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2010,12.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2011,7.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2012,11.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2013,8.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2014,6.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,female,2015,9.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2008,16.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2009,14.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2010,15.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2011,12.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2012,16.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2013,13.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2014,14.0
(EU) Standardised death rate due to chronic liver disease and cirrhoses all ages per 100 000 inhabitants,Luxembourg,combined,2015,12.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2008,164.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2009,129.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2010,128.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2011,138.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2012,131.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2013,120.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2014,125.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,male,2015,104.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2008,74.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2009,52.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2010,57.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2011,68.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2012,51.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2013,67.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2014,48.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,female,2015,48.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2008,109.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2009,83.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2010,86.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2011,93.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2012,83.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2013,90.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2014,80.0
(EU) Standardised death rate due to ischaemic heart diseases per 100 000 persons,Luxembourg,combined,2015,74.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2008,16.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2009,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2010,19.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2011,15.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2012,17.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2013,12.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2014,22.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,male,2015,21.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2008,3.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2009,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2010,4.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2011,8.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2012,5.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2013,7.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2014,6.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,female,2015,8.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2008,9.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2009,10.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2010,11.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2011,11.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2012,11.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2013,9.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2014,13.0
(EU) Standardised death rate due to suicides per 100 000 persons,Luxembourg,combined,2015,14.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2008,40.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2009,47.9
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2010,56.2
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2011,53.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2012,52.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2013,56.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2014,43.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,male,2015,51.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2008,30.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2009,32.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2010,26.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2011,30.8
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2012,29.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2013,32.2
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2014,25.9
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,female,2015,27.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2008,36.5
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2009,40.4
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2010,38.9
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2011,40.1
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2012,40.3
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2013,43.6
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2014,34.0
(EU) Standardised death rate due to unintentional and intentional injuries per 100 000 persons,Luxembourg,combined,2015,36.7
(EU) Total fertility rate,Luxembourg,combined,2008,1.61
(EU) Total fertility rate,Luxembourg,combined,2009,1.59
(EU) Total fertility rate,Luxembourg,combined,2010,1.63
(EU) Total fertility rate,Luxembourg,combined,2011,1.52
(EU) Total fertility rate,Luxembourg,combined,2012,1.57
(EU) Total fertility rate,Luxembourg,combined,2013,1.55
(EU) Total fertility rate,Luxembourg,combined,2014,1.5
(EU) Total fertility rate,Luxembourg,combined,2015,1.47
(EU) Total fertility rate,Luxembourg,combined,2016,1.41
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2008,196.9
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2009,200.4
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2010,183.5
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2011,209.0
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2012,202.8
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2013,198.4
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2014,189.0
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2015,192.8
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2016,197.8
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2017,195.9
(EU) Total hip replacements per 100 000 inhabitants,Luxembourg,combined,2018,202.3
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Luxembourg,combined,2009,1157.0
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Luxembourg,combined,2010,1152.4
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Luxembourg,combined,2011,1178.3
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Luxembourg,combined,2012,1243.0
(EU) Total number of practising nurses and midwives staff per 100 000 inhabitants,Luxembourg,combined,2013,1244.6
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2008,13189.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2009,13357.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2010,13087.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2011,13330.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2012,13881.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2013,14628.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2014,14828.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2015,14988.0
(EU) Total social expenditure (PPP) per capita,Luxembourg,combined,2016,14469.0
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2008,20.9
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2009,23.4
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2010,22.5
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2011,21.8
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2012,22.7
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2013,23.1
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2014,22.4
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2015,22.1
"(EU) Total social protection expenditure as a share of GDP, %",Luxembourg,combined,2016,22.0
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2008,172.4
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2009,213.6
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2010,242.8
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2011,265.3
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2012,239.1
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2013,206.1
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2014,208.5
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2015,188.6
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2016,193.3
(EU) Transluminal coronary angioplasty per 100 000 inhabitants,Luxembourg,combined,2017,195.4
(EU) Unemployment rate,Luxembourg,male,2008,4.3
(EU) Unemployment rate,Luxembourg,male,2009,4.4
(EU) Unemployment rate,Luxembourg,male,2010,3.8
(EU) Unemployment rate,Luxembourg,male,2011,3.8
(EU) Unemployment rate,Luxembourg,male,2012,4.5
(EU) Unemployment rate,Luxembourg,male,2013,5.4
(EU) Unemployment rate,Luxembourg,male,2014,5.9
(EU) Unemployment rate,Luxembourg,male,2015,6.1
(EU) Unemployment rate,Luxembourg,male,2016,6.0
(EU) Unemployment rate,Luxembourg,male,2017,5.6
(EU) Unemployment rate,Luxembourg,male,2018,5.3
(EU) Unemployment rate,Luxembourg,male,2019,5.7
(EU) Unemployment rate,Luxembourg,female,2008,6.0
(EU) Unemployment rate,Luxembourg,female,2009,6.1
(EU) Unemployment rate,Luxembourg,female,2010,5.1
(EU) Unemployment rate,Luxembourg,female,2011,6.3
(EU) Unemployment rate,Luxembourg,female,2012,5.9
(EU) Unemployment rate,Luxembourg,female,2013,6.4
(EU) Unemployment rate,Luxembourg,female,2014,5.8
(EU) Unemployment rate,Luxembourg,female,2015,7.4
(EU) Unemployment rate,Luxembourg,female,2016,6.6
(EU) Unemployment rate,Luxembourg,female,2017,5.5
(EU) Unemployment rate,Luxembourg,female,2018,5.9
(EU) Unemployment rate,Luxembourg,female,2019,5.5
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2008,12.5
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2009,16.7
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2010,17.6
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2011,13.3
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2012,18.9
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2013,18.7
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2014,26.1
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2015,18.9
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2016,19.7
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2017,17.2
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2018,16.3
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,male,2019,17.8
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2008,24.1
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2009,17.8
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2010,10.2
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2011,20.8
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2012,18.6
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2013,10.9
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2014,18.1
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2015,15.7
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2016,18.0
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2017,13.2
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2018,11.9
(EU) Unemployment rate of young people aged 16-24 years,Luxembourg,female,2019,16.0
(EU) Age dependency ratio,Macedonia,combined,2010,41.5
(EU) Age dependency ratio,Macedonia,combined,2011,41.2
(EU) Age dependency ratio,Macedonia,combined,2012,40.8
(EU) Age dependency ratio,Macedonia,combined,2013,40.9
(EU) Age dependency ratio,Macedonia,combined,2014,41.3
(EU) Age dependency ratio,Macedonia,combined,2015,41.8
(EU) Age dependency ratio,Macedonia,combined,2016,42.1
(EU) Age dependency ratio,Macedonia,combined,2017,42.5
(EU) At-risk-of-poverty rate after social transfers,Macedonia,male,2010,27.5
(EU) At-risk-of-poverty rate after social transfers,Macedonia,male,2011,26.6
(EU) At-risk-of-poverty rate after social transfers,Macedonia,male,2012,26.9
(EU) At-risk-of-poverty rate after social transfers,Macedonia,male,2013,24.6
(EU) At-risk-of-poverty rate after social transfers,Macedonia,male,2014,22.3
(EU) At-risk-of-poverty rate after social transfers,Macedonia,male,2015,21.5
(EU) At-risk-of-poverty rate after social transfers,Macedonia,male,2016,22.1
(EU) At-risk-of-poverty rate after social transfers,Macedonia,female,2010,26.5
(EU) At-risk-of-poverty rate after social transfers,Macedonia,female,2011,27.0
(EU) At-risk-of-poverty rate after social transfers,Macedonia,female,2012,25.5
(EU) At-risk-of-poverty rate after social transfers,Macedonia,female,2013,23.9
(EU) At-risk-of-poverty rate after social transfers,Macedonia,female,2014,21.9
(EU) At-risk-of-poverty rate after social transfers,Macedonia,female,2015,21.5
(EU) At-risk-of-poverty rate after social transfers,Macedonia,female,2016,21.6
(EU) At-risk-of-poverty rate after social transfers,Macedonia,combined,2010,27.0
(EU) At-risk-of-poverty rate after social transfers,Macedonia,combined,2011,26.8
(EU) At-risk-of-poverty rate after social transfers,Macedonia,combined,2012,26.2
(EU) At-risk-of-poverty rate after social transfers,Macedonia,combined,2013,24.2
(EU) At-risk-of-poverty rate after social transfers,Macedonia,combined,2014,22.1
(EU) At-risk-of-poverty rate after social transfers,Macedonia,combined,2015,21.5
(EU) At-risk-of-poverty rate after social transfers,Macedonia,combined,2016,21.9
(EU) GDP per capita in Purchasing Power Standards (PPS),Macedonia,combined,2010,34.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Macedonia,combined,2011,34.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Macedonia,combined,2012,34.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Macedonia,combined,2013,35.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Macedonia,combined,2014,36.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Macedonia,combined,2015,36.0
(EU) GDP per capita in Purchasing Power Standards (PPS),Macedonia,combined,2016,38.0
(EU) Inequality of income distribution (income quintile share ratio),Macedonia,combined,2012,10.2
(EU) Inequality of income distribution (income quintile share ratio),Macedonia,combined,2013,8.4
(EU) Inequality of income distribution (income quintile share ratio),Macedonia,combined,2014,7.2
(EU) Inequality of income distribution (income quintile share ratio),Macedonia,combined,2015,6.6
(EU) Inequality of income distribution (income quintile share ratio),Macedonia,combined,2016,6.6
"(EU) Life expectancy at birth, years",Macedonia,male,2010,73.0
"(EU) Life expectancy at birth, years",Macedonia,male,2011,73.0
"(EU) Life expectancy at birth, years",Macedonia,male,2012,73.0
"(EU) Life expectancy at birth, years",Macedonia,male,2013,73.0
"(EU) Life expectancy at birth, years",Macedonia,male,2014,74.0
"(EU) Life expectancy at birth, years",Macedonia,male,2015,74.0
"(EU) Life expectancy at birth, years",Macedonia,male,2016,73.0
"(EU) Life expectancy at birth, years",Macedonia,female,2010,77.0
"(EU) Life expectancy at birth, years",Macedonia,female,2011,77.0
"(EU) Life expectancy at birth, years",Macedonia,female,2012,77.0
"(EU) Life expectancy at birth, years",Macedonia,female,2013,78.0
"(EU) Life expectancy at birth, years",Macedonia,female,2014,78.0
"(EU) Life expectancy at birth, years",Macedonia,female,2015,77.0
"(EU) Life expectancy at birth, years",Macedonia,female,2016,78.0
"(EU) Life expectancy at birth, years",Macedonia,combined,2010,75.0
