Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
2021-11-21,1674206,66,674551,68,80467,85,66859,64,12774,68,841901,102,1827,60
2021-11-22,3130363,56,1418226,65,156874,48,127776,45,21441,69,901942,96,6896,41
2021-11-23,3286591,58,1424890,65,162241,49,136562,48,22574,72,989345,105,7194,42
2021-11-24,3085289,55,1343391,61,165349,50,139391,49,21002,67,992568,105,6589,39
2021-11-25,1357198,54,509782,51,125417,133,69945,67,15459,82,861084,105,1990,65
2021-11-26,2089772,83,843588,85,128452,136,108747,104,11077,59,789915,96,3205,104
2021-11-27,1880422,60,750986,57,83676,73,76112,50,10620,63,850980,94,2216,64
2021-11-28,1465745,58,592081,59,75197,80,65128,63,10481,56,825585,100,1669,54
2021-11-29,2996015,53,1381661,63,166154,51,132498,46,21124,68,900399,95,6692,39
2021-11-30,3207209,57,1432539,65,166738,51,136630,48,22469,72,897216,95,7124,42
2021-12-01,3326469,62,1463384,73,163163,52,136126,49,23347,80,899319,102,7266,47
2021-12-02,3358843,63,1449142,72,154723,49,127508,46,22540,77,923179,104,7290,47
2021-12-03,3374097,63,1419078,71,144500,46,119424,43,22518,77,940827,106,6442,41
2021-12-04,2318147,70,864764,68,91477,71,81392,52,13317,77,864918,98,56,1
2021-12-05,1737352,68,665129,68,72716,68,60526,56,12541,70,818544,103,193,6
2021-12-06,3135869,59,1394230,70,154970,49,127260,46,21761,75,865595,98,6687,43
2021-12-07,3367790,63,1453136,73,153749,49,131033,47,23262,80,883027,100,7367,47
2021-12-08,3378727,63,1430106,71,156218,49,130222,47,22691,78,889409,100,6948,45
2021-12-09,3433600,64,1436883,72,154367,49,126159,45,22743,78,927903,105,7222,46
2021-12-10,3417451,64,1404176,70,152524,48,127711,46,22237,76,962125,109,6331,41
2021-12-11,2266265,68,786137,62,91894,72,81068,52,13396,78,863814,98,2291,46
2021-12-12,1829872,72,627007,64,80874,76,66471,62,12189,68,828121,104,1833,54
2021-12-13,3120850,58,1333718,67,153387,49,129698,46,21617,74,874293,99,6769,43
2021-12-14,3274170,61,1378221,69,154939,49,131812,47,23042,79,894669,101,7124,46
2021-12-15,3242168,61,1436154,72,153128,48,129761,47,23732,81,921048,104,6908,44
2021-12-16,3219799,60,1438193,72,152710,48,126131,45,23623,81,948535,107,7043,45
2021-12-17,3112088,58,1375383,69,146111,46,121037,43,22539,77,968689,109,6404,41
2021-12-18,1880969,57,786073,62,74306,58,66097,42,12312,71,832994,94,1987,40
2021-12-19,1579809,62,636393,65,65698,62,56292,52,12238,69,784051,98,1694,50
2021-12-20,2716451,51,1277654,64,132078,42,102695,37,20318,70,856849,97,5979,38
2021-12-21,2697325,51,1299476,65,124376,39,97141,35,21656,74,866595,98,5772,37
2021-12-22,2634565,49,1252621,63,117678,37,92941,33,21673,74,878197,99,5594,36
2021-12-23,2486489,47,1166953,58,118388,37,97238,35,19335,66,899513,102,5000,32
2021-12-24,1575449,62,746809,76,97408,91,81055,75,12009,67,738612,93,2289,67
2021-12-25,810937,24,329549,26,39466,31,31575,20,9021,52,582582,66,1008,20
2021-12-26,1284738,51,518897,53,56467,53,51478,48,8744,49,673477,85,1746,51
2021-12-27,2007649,38,890096,44,108463,34,89427,32,14952,51,744547,84,4026,26
2021-12-28,2168419,41,953933,48,109904,35,89719,32,16736,57,764364,86,4372,28
2021-12-29,2167077,41,921562,46,105898,34,92605,33,16859,58,768653,87,3996,26
2021-12-30,2198415,41,928012,46,110101,35,90827,33,16177,55,804654,91,3944,25
2021-12-31,1627589,64,699749,71,96699,91,85232,79,11498,64,628305,79,2270,67
2022-01-01,1027918,38,350845,29,33980,35,30341,23,4904,34,498515,65,1262,31
2022-01-02,1219735,58,475096,52,49155,59,42587,47,8383,62,624655,92,1571,57
2022-01-03,2168229,42,1000002,49,102961,34,83990,31,16437,58,692740,80,4515,28
2022-01-04,2289352,45,1082360,53,104247,34,81978,30,17909,63,733369,84,4795,29
2022-01-05,2267942,44,1078511,53,98251,33,77579,29,18861,67,709060,82,4659,28
2022-01-06,2391176,46,1146904,56,103562,34,82567,31,18672,66,780026,90,4909,30
2022-01-07,2121941,41,880997,43,90207,30,73067,27,14203,50,559774,64,3628,22
2022-01-08,1486065,55,631341,53,51707,53,46428,36,9126,63,641533,84,1672,41
2022-01-09,1102472,53,475438,52,43383,52,35309,39,7916,59,567494,83,1210,44
2022-01-10,2347323,46,1147341,56,116463,39,90220,34,18268,65,762712,88,4954,30
2022-01-11,2266378,44,1040581,51,104378,35,81438,30,17388,61,753381,87,4655,28
2022-01-12,2459224,48,1179931,58,111022,37,86050,32,19679,70,784901,90,5024,31
2022-01-13,2524197,49,1218552,60,112519,37,87672,33,19918,70,821641,95,5132,31
2022-01-14,2522972,49,1186647,58,109199,36,88634,33,18878,67,866901,100,4774,29
2022-01-15,1434676,53,573037,48,53410,55,45309,35,9510,66,703293,92,1449,35
2022-01-16,1165626,56,456257,50,43578,53,38025,42,8545,63,621361,91,1140,42
2022-01-17,1600048,77,694066,76,98738,119,44075,49,8760,65,649397,95,2190,80
2022-01-18,2541044,49,1222195,60,125615,42,100364,37,19389,69,815605,94,5381,33
2022-01-19,2642129,51,1286788,63,121249,40,96281,36,21111,75,829778,95,5598,34
2022-01-20,2545486,49,1181953,58,112595,37,88196,33,18616,66,766608,88,5031,31
2022-01-21,2565781,50,1151816,56,113474,38,91079,34,19079,67,864079,99,4748,29
2022-01-22,1583650,58,655490,55,59412,61,53737,41,10455,72,735629,96,1642,40
2022-01-23,1245716,60,529115,58,48672,59,43647,48,9446,70,685007,100,1245,45
2022-01-24,2536827,49,1244112,61,127750,42,100520,37,19472,69,791390,91,5188,32
2022-01-25,2701246,53,1308979,64,124499,41,98859,37,21233,75,817021,94,5625,34
2022-01-26,2711803,53,1266798,62,118625,39,96253,36,21033,74,833936,96,5197,32
2022-01-27,2724979,53,1275573,62,119039,39,95748,36,20934,74,869615,100,5271,32
2022-01-28,2703403,53,1208092,59,120912,40,96409,36,20115,71,866261,100,4994,30
2022-01-29,999347,37,271959,23,8142,8,22016,17,5353,37,174348,23,852,21
2022-01-30,1262477,60,460299,50,47852,58,45002,50,5974,44,506466,74,1233,45
2022-01-31,2575762,50,1139164,56,132248,44,109718,41,18400,65,777628,89,4968,30
2022-02-01,2635083,49,1127084,52,135255,45,111424,41,20357,69,804390,91,4993,31
2022-02-02,2940152,54,1314898,61,140059,46,110996,41,22427,76,846701,96,5830,36
2022-02-03,2914198,54,1304726,61,126901,42,104093,39,22325,76,853193,97,5750,36
2022-02-04,2725725,50,1176367,55,117899,39,94290,35,18557,63,781068,88,5072,31
2022-02-05,1792780,63,726750,57,61201,65,61496,47,11377,70,775134,93,1835,43
2022-02-06,1323892,60,558211,57,51472,66,48395,53,10621,63,744779,99,1388,49
2022-02-07,2784230,51,1297024,60,136455,45,111297,41,21120,72,809094,92,5711,35
2022-02-08,3016648,56,1387432,64,141653,47,119190,44,22667,77,851665,96,6254,39
2022-02-09,3088775,57,1421706,66,143673,47,115341,43,23863,81,868057,98,6297,39
2022-02-10,3112489,57,1423775,66,143062,47,115707,43,23341,79,905812,103,6362,39
2022-02-11,3015472,56,1348189,63,131038,43,110674,41,22608,77,939270,106,5570,34
2022-02-12,2026308,71,820629,65,71709,77,71813,55,13376,82,867255,104,2295,54
2022-02-13,1349864,62,510307,52,50534,65,46395,51,10013,59,655107,87,1322,47
2022-02-14,2907825,54,1272100,59,142507,47,113260,42,20812,71,862473,98,5803,36
2022-02-15,3030742,56,1340123,62,146607,48,119034,44,21922,74,873240,99,6447,40
2022-02-16,3100639,57,1406714,65,140431,46,115325,43,23513,80,875377,99,6337,39
2022-02-17,3109956,57,1408571,65,141226,47,115718,43,23713,81,911310,103,6527,40
2022-02-18,2953785,54,1285978,60,129403,43,112030,42,21470,73,947650,107,5677,35
2022-02-19,1792136,62,723602,57,64696,69,66545,51,12171,75,813140,98,2108,49
2022-02-20,1477125,67,571789,59,55015,70,54863,60,11017,65,768971,102,1517,54
2022-02-21,1942267,89,873961,89,109882,141,63892,70,12500,74,816227,108,2781,99
2022-02-22,2669508,49,1143526,53,135406,45,112764,42,19233,65,846877,96,5767,36
2022-02-23,2894245,53,1247209,58,140229,46,119188,44,23807,81,892767,101,6116,38
2022-02-24,2858146,53,1196924,56,132496,44,110395,41,21868,74,911720,103,5879,36
2022-02-25,2575630,47,1027563,48,114658,38,90953,34,18740,64,794852,90,4544,28
2022-02-26,1824833,64,775358,61,71783,77,61573,47,12226,75,847294,102,2012,47
2022-02-27,1403227,64,604646,62,62913,81,51604,57,11337,67,802377,106,1523,54
2022-02-28,2915786,54,1362855,63,134902,45,118572,44,21929,75,859177,97,6170,38
2022-03-01,3138181,56,1435834,64,165769,53,150787,55,22944,77,873348,95,6655,42
2022-03-02,3208166,58,1463263,65,159238,51,140945,51,24289,82,896503,97,6680,42
2022-03-03,3207495,58,1434851,64,152883,49,132506,48,23800,80,923154,100,6674,42
2022-03-04,3077537,55,1363159,61,145518,46,125143,45,22821,77,957694,104,5807,36
2022-03-05,1955535,64,812774,61,69010,64,70427,52,13269,78,865292,99,2116,42
2022-03-06,1444501,63,600501,60,53034,61,52874,56,12557,71,787598,98,1550,49
2022-03-07,2980920,54,1395540,62,153907,49,129784,47,22465,76,861409,93,6161,39
2022-03-08,3244473,58,1456451,65,158652,51,138811,50,24076,81,894132,97,6923,43
2022-03-09,3113559,56,1338822,60,153393,49,129056,47,23477,79,832720,90,6200,39
2022-03-10,3339363,60,1476288,66,163931,52,140107,51,24515,82,945191,103,6914,43
2022-03-11,3195956,57,1419371,63,158985,51,135371,49,23736,80,986555,107,6150,39
2022-03-12,1663893,54,637601,48,51679,48,59927,44,10655,63,669502,77,1748,35
2022-03-13,1479406,65,590753,59,59964,69,57548,61,11491,65,792377,98,1524,48
2022-03-14,3008800,54,1406578,63,159962,51,134093,49,22480,76,879699,95,6416,40
2022-03-15,3275906,59,1454522,65,171406,55,146786,53,24272,82,906028,98,7287,46
2022-03-16,3332335,60,1476356,66,168768,54,145085,53,25305,85,914284,99,7009,44
2022-03-17,3175784,57,1350810,60,166884,53,135727,49,22946,77,888875,96,6768,42
2022-03-18,3275433,59,1402806,63,163169,52,137528,50,24019,81,978491,106,6288,39
2022-03-19,2001839,65,820933,62,74087,69,73974,54,12877,76,872810,100,2050,40
2022-03-20,1656673,72,628693,63,67551,78,63818,68,12736,72,879711,109,1722,55
2022-03-21,3034759,55,1418900,63,165487,53,134182,49,22229,75,880846,96,6367,40
2022-03-22,3276940,59,1471299,66,168328,54,144765,53,23948,81,891089,97,7082,44
2022-03-23,3275708,59,1438665,64,161202,51,138873,50,24574,83,891509,97,6540,41
2022-03-24,3212181,58,1373850,61,162392,52,134129,49,22998,77,900384,98,6513,41
2022-03-25,3218970,58,1397899,62,158528,51,133368,48,23274,78,967743,105,6075,38
2022-03-26,2024596,66,783499,59,71809,67,73933,54,13208,78,875353,101,2154,43
2022-03-27,1534056,67,628313,63,64950,75,58044,62,11809,67,830360,103,1602,51
2022-03-28,2989874,54,1336330,60,153222,49,130886,47,22114,74,868259,94,6096,38
2022-03-29,3291883,59,1430099,64,163218,52,143870,52,23981,81,886086,96,6900,43
2022-03-30,3336073,60,1465351,65,164882,53,143216,52,24620,83,913063,99,6920,43
2022-03-31,3323135,60,1450363,65,164074,52,139602,51,24308,82,941530,102,6890,43
2022-04-01,3237107,58,1411421,65,145251,47,120557,42,24017,83,972802,103,5972,37
2022-04-02,2128435,67,879513,66,77205,68,80471,54,14382,86,893814,98,2484,49
2022-04-03,1463932,60,607152,61,58819,64,53761,52,12947,69,790600,91,1419,43
2022-04-04,3127667,56,1447820,66,159541,51,135920,47,23746,82,899510,96,6676,41
2022-04-05,3356454,60,1484961,68,170140,55,150671,53,24873,86,904813,96,7089,44
2022-04-06,3311547,59,1403198,64,163830,53,142810,50,25103,87,890470,95,6569,40
2022-04-07,3307076,59,1379678,63,161276,52,140249,49,24107,83,901454,96,6636,41
2022-04-08,3347754,60,1443367,66,160905,52,140791,49,24488,85,998348,106,6342,39
2022-04-09,2190396,69,868945,65,81562,71,86611,58,13969,84,897690,98,66,1
2022-04-10,1707748,70,667662,67,63204,69,66112,64,13935,75,850153,98,13,0
2022-04-11,3205728,57,1433226,66,161131,52,140224,49,23569,81,901316,96,6354,39
2022-04-12,3078069,55,1496004,68,172294,56,149369,52,25286,87,936334,100,7099,44
2022-04-13,3220964,58,1495891,68,163448,53,147043,51,25847,89,949712,101,6593,41
2022-04-14,3297697,59,1438990,66,162946,52,144335,50,25073,87,982717,104,6381,39
2022-04-15,2761532,50,1137728,52,166068,53,140217,49,20908,72,973156,103,4728,29
2022-04-16,1986306,63,830874,62,89011,78,83725,56,13413,80,885536,97,2133,42
2022-04-17,1512633,62,596619,60,71258,78,71704,70,14704,79,845418,98,1640,50
2022-04-18,2676254,48,1145261,52,154315,50,139151,49,20245,70,901207,96,5209,32
2022-04-19,2962130,53,1189960,54,168354,54,151518,53,22359,77,895086,95,5841,36
2022-04-20,3098046,56,1265823,58,171730,55,155674,54,24212,84,942383,100,6097,38
2022-04-21,3033422,54,1231047,56,165823,53,147535,51,23239,80,920202,98,5738,35
2022-04-22,2985684,54,1217380,56,157943,51,145606,51,22298,77,935779,99,5340,33
2022-04-23,2109188,67,844146,63,79436,70,89804,60,13459,81,907580,99,59,1
2022-04-24,1655860,68,648591,65,64842,71,67580,66,12927,69,875218,101,3,0
2022-04-25,3026541,54,1415638,65,159569,51,138979,48,22370,77,883942,94,6322,39
2022-04-26,3281657,59,1453452,66,172171,55,153893,54,23800,82,897493,95,7024,43
2022-04-27,3432282,62,1500437,69,172613,56,153109,53,25229,87,934481,99,6903,43
2022-04-28,3404938,61,1468093,67,167300,54,146321,51,24321,84,968651,103,6765,42
2022-04-29,3257634,58,1429909,65,164944,53,136881,48,23421,81,994415,106,5900,36
2022-04-30,2108746,67,884540,66,82887,73,82838,56,14223,85,938739,103,2123,41
2022-05-01,1683953,70,676070,70,64630,66,62502,60,12976,76,870826,102,2694,77
2022-05-02,2732825,48,1176867,52,146394,46,126784,44,21695,74,883276,92,5425,31
2022-05-03,3402882,60,1500109,66,177868,56,155261,54,24680,84,929868,97,7400,43
2022-05-04,3364902,59,1465639,64,168539,53,147078,51,25462,87,921590,96,6747,39
2022-05-05,3502522,61,1523580,67,174640,55,150087,52,25903,88,982930,102,7061,41
2022-05-06,3190556,56,1353750,60,154325,48,129417,45,23411,80,953902,99,5729,33
2022-05-07,1842808,57,706551,51,72948,62,68612,46,13033,75,841086,88,1523,31
2022-05-08,1582133,66,630228,65,73703,76,73027,70,15375,90,891361,105,1449,41
2022-05-09,3114506,54,1428758,63,163741,51,140940,49,22008,75,917036,95,6564,38
2022-05-10,3412902,60,1504314,66,175823,55,158627,55,24148,82,933451,97,7176,41
2022-05-11,3440378,60,1514922,67,178061,56,156792,55,25548,87,948266,99,7159,41
2022-05-12,3430104,60,1495220,66,169543,53,149204,52,25158,86,981139,102,6866,39
2022-05-13,3252002,57,1410923,62,164843,52,140065,49,23539,80,998394,104,6050,35
2022-05-14,2149046,67,840921,60,89636,76,86652,58,13580,78,918398,96,69,1
2022-05-15,1760359,74,692876,72,76052,78,69705,67,13379,79,908702,107,5,0
2022-05-16,3080043,54,1396300,61,163431,51,140702,49,22187,75,898690,93,5996,34
2022-05-17,3536021,62,1519740,67,182683,57,162082,57,24353,83,951399,99,7259,42
2022-05-18,3605606,63,1511142,66,182181,57,161135,56,25365,86,982156,102,6816,39
2022-05-19,3467327,61,1426027,63,172517,54,149985,52,24271,83,983011,102,6790,39
2022-05-20,3271914,57,1396732,61,175666,55,146403,51,23767,81,1011794,105,6040,35
2022-05-21,2324245,72,883795,63,94322,80,92552,61,14985,87,983575,103,2530,52
2022-05-22,1760638,74,683500,71,78635,81,72063,69,13279,78,920057,108,1863,53
2022-05-23,3111755,54,1431781,63,170546,53,151349,53,22696,77,943933,98,6356,37
2022-05-24,3378506,59,1488152,65,182570,57,163943,57,24560,84,942307,98,7023,40
2022-05-25,3426530,60,1493506,66,178124,56,158814,55,25418,86,959442,100,6862,39
2022-05-26,3341059,58,1464696,64,176469,55,148011,52,24866,85,1001574,104,6549,38
2022-05-27,3031130,53,1353398,60,167840,53,135294,47,22894,78,975898,101,5737,33
2022-05-28,1872775,58,788135,56,91250,77,77192,51,12805,74,833464,87,2191,45
2022-05-29,1755236,73,701173,73,84784,87,76982,74,14490,85,891666,105,2276,65
2022-05-30,1694970,71,755616,78,80533,83,68206,66,10771,63,839398,98,2251,64
2022-05-31,3176109,56,1426470,63,184088,58,163018,57,23778,81,968335,101,6634,38
2022-06-01,3381297,60,1465383,68,178742,54,159050,54,25586,87,943747,96,7084,44
2022-06-02,3351902,60,1433303,67,170537,51,151492,51,24764,85,959324,98,6783,42
2022-06-03,3283271,59,1431042,67,174500,52,153744,52,24838,85,1002106,102,6178,38
2022-06-04,2178024,68,904623,65,93431,76,92199,58,14409,83,957009,97,1844,36
2022-06-05,1724983,66,691644,64,75675,77,74005,68,13955,77,865693,94,1361,35
2022-06-06,3092181,55,1411725,66,167062,50,148152,50,22794,78,892799,91,6552,40
2022-06-07,3392224,60,1440940,67,185736,56,163756,55,25256,86,940766,96,7169,44
2022-06-08,3492805,62,1496144,70,181126,54,162417,55,26058,89,958676,97,7114,44
2022-06-09,3297157,59,1333103,62,179521,54,157460,53,25135,86,975009,99,6430,40
2022-06-10,3376125,60,1435660,67,187819,56,159223,54,25437,87,1028117,105,6304,39
2022-06-11,2231451,69,870550,62,117891,96,95108,60,14776,85,961805,98,1835,36
2022-06-12,1674607,64,626471,58,80792,82,74580,68,13440,74,883990,96,1209,31
2022-06-13,3168681,56,1440429,67,174264,52,150375,51,23697,81,943626,96,6608,41
2022-06-14,3494822,62,1493761,69,191198,57,174340,59,25372,87,954427,97,7276,45
2022-06-15,3526802,63,1478668,69,192593,58,169462,57,26904,92,965644,98,7153,44
2022-06-16,3409624,61,1397317,65,190212,57,162513,55,25856,88,993952,101,6720,41
2022-06-17,3247379,58,1397243,65,187179,56,148590,50,24338,83,1036376,105,6036,37
2022-06-18,2186635,68,884050,63,106091,86,94130,59,15136,87,987511,100,2613,52
2022-06-19,1725762,66,693231,64,90581,92,80654,74,15622,86,946443,102,1903,49
2022-06-20,2460659,94,1077190,99,167670,170,138080,127,15440,85,942148,102,4009,103
2022-06-21,3339793,60,1408052,66,190339,57,172400,58,25299,86,951906,97,7183,44
2022-06-22,3357113,60,1361456,63,178850,54,164196,56,25774,88,937068,95,6910,43
2022-06-23,3407485,61,1382605,64,188546,57,169144,57,25286,86,1004103,102,6716,41
2022-06-24,3296412,59,1331442,62,187818,56,161647,55,24414,83,1035312,105,6066,37
2022-06-25,2286963,71,888953,63,106000,86,102466,65,15274,88,994834,101,50,1
2022-06-26,2011977,77,696910,64,102452,104,99103,91,14574,81,962670,104,618,16
2022-06-27,2932598,52,1279403,60,171627,52,149284,50,22331,76,928436,94,6260,39
2022-06-28,3248338,58,1328144,62,199956,60,174878,59,24179,83,960666,98,6903,43
2022-06-29,3249261,58,1325530,62,191855,58,169146,57,25392,87,977984,99,6792,42
2022-06-30,3151572,56,1300241,60,191868,58,158265,54,24651,84,1011864,103,6407,40
2022-07-01,2827549,54,1221837,59,151245,48,117791,42,23983,85,998259,104,5291,38
2022-07-02,1847093,65,827668,61,84481,66,75179,49,12878,81,823425,89,2042,40
2022-07-03,1654774,71,703282,64,86602,83,73949,70,14822,90,845877,96,1909,53
2022-07-04,1608084,69,689986,63,85709,82,72464,68,10976,66,772949,87,2148,60
2022-07-05,2802814,53,1246208,60,169990,54,150170,53,22800,80,925869,96,5935,43
2022-07-06,3066462,58,1330990,64,173648,55,153543,54,25372,89,917894,95,6448,47
2022-07-07,3115604,59,1333373,64,173393,55,151105,53,25119,89,946553,98,6463,47
2022-07-08,2902322,55,1249434,60,163715,52,134620,48,24108,85,949529,99,5625,41
2022-07-09,2061419,73,885289,66,92765,73,89757,58,14546,92,917802,99,2563,50
2022-07-10,1681041,72,707984,65,82276,79,71195,67,14147,86,921110,104,2016,56
2022-07-11,2876587,54,1312895,63,167475,53,148113,52,23255,82,913992,95,6163,45
2022-07-12,3148320,60,1350346,65,180172,57,164494,58,24697,87,913137,95,6780,49
2022-07-13,3229387,61,1365172,66,178413,56,166187,59,25800,91,944299,98,6536,47
2022-07-14,3203104,61,1355975,65,174794,55,159599,56,25312,89,977841,102,6413,47
2022-07-15,3021651,57,1291217,62,171615,54,148858,53,24177,85,994183,103,5527,40
2022-07-16,2093206,74,859537,64,101758,80,98156,64,15226,96,939649,102,64,1
2022-07-17,1674922,72,701796,64,82028,78,80166,76,13868,84,900361,102,7,0
2022-07-18,2720012,52,1209240,58,162178,51,132779,47,22670,80,877737,91,5543,40
2022-07-19,3169016,60,1372407,66,180693,57,160294,57,24933,88,932398,97,6593,48
2022-07-20,3190942,60,1357383,66,180707,57,156988,55,25590,90,945289,98,6167,45
2022-07-21,3109097,59,1302978,63,173070,55,150414,53,24308,86,954280,99,6166,45
2022-07-22,2942752,56,1267907,61,174861,55,138068,49,23926,84,993037,103,5322,39
2022-07-23,2028696,72,862976,64,99341,78,86245,56,14503,91,945847,102,32,1
2022-07-24,1596195,68,674189,61,82656,79,68265,64,12751,77,908767,103,6,0
2022-07-25,2727722,52,1220826,59,163454,52,140432,50,22355,79,893016,93,5692,41
2022-07-26,3175001,60,1360570,66,186182,59,162994,58,24990,88,942025,98,6479,47
2022-07-27,3232796,61,1369023,66,185332,59,161241,57,25759,91,957557,100,6667,48
2022-07-28,3151913,60,1332113,64,173264,55,156936,55,24413,86,974290,101,6421,47
2022-07-29,2932846,56,1260714,61,166723,53,147568,52,23697,84,979719,102,5532,40
2022-07-30,2074421,73,893846,66,89426,70,96840,63,15068,95,954809,103,56,1
2022-07-31,1649097,71,693700,63,77991,74,78953,74,14046,85,929822,105,3,0
2022-08-01,2739262,53,1240007,61,151752,49,138431,51,22892,82,904119,93,5673,42
2022-08-02,3070101,60,1346324,67,173023,55,158236,58,24865,89,919127,95,6452,48
2022-08-03,3124038,61,1367848,68,173751,56,158305,58,26785,96,947338,97,6170,46
2022-08-04,3049076,59,1323229,66,174491,56,147770,54,25326,91,976459,100,5409,40
2022-08-05,2822155,55,1260961,62,161323,52,129376,47,23824,85,976443,100,4754,36
2022-08-06,1999580,68,865676,63,95704,72,84495,56,14893,90,944842,99,33,1
2022-08-07,1542311,65,670866,61,78449,75,66242,64,14367,80,882525,96,153,4
2022-08-08,2705428,53,1276524,63,165363,53,137457,50,22965,82,926426,95,5496,41
2022-08-09,3013784,59,1308034,65,173284,55,151624,56,25056,90,922400,95,5935,44
2022-08-10,3134434,61,1347916,67,178656,57,147931,54,26098,93,948711,98,6117,46
2022-08-11,3093548,60,1315101,65,171390,55,146019,54,25553,91,966856,99,5842,44
2022-08-12,2963913,58,1273620,63,175220,56,137578,50,24849,89,996504,103,5422,41
2022-08-13,2089217,71,878499,64,103227,77,89569,59,15889,96,953867,100,1632,35
2022-08-14,1677803,70,692644,63,88242,85,72900,70,14492,81,931953,101,1339,37
2022-08-15,2768347,54,1234308,61,161519,52,144170,53,23199,83,921408,95,5395,40
2022-08-16,3045892,59,1288800,64,173651,56,157888,58,24994,89,919835,95,6228,47
2022-08-17,3074027,60,1284966,64,172248,55,155815,57,25904,93,935484,96,6080,45
2022-08-18,3077928,60,1283965,64,181136,58,150643,55,25701,92,982598,101,5834,44
2022-08-19,2918737,57,1239929,61,164682,53,141791,52,24141,86,995590,102,5132,38
2022-08-20,2038622,69,875371,64,96552,72,97718,64,15903,96,952947,99,1699,36
2022-08-21,1619422,68,692309,63,84669,81,81666,79,14617,81,918196,100,1272,35
2022-08-22,2622885,51,1144254,57,160918,51,141482,52,21887,78,884589,91,5185,39
2022-08-23,2992615,58,1261782,63,173898,56,155953,57,24448,88,921483,95,5903,44
2022-08-24,3020710,59,1288092,64,177790,57,151169,55,25654,92,946975,97,6036,45
2022-08-25,3090901,60,1310134,65,177178,57,142659,52,24964,89,981024,101,6122,46
2022-08-26,2863653,56,1217448,60,171765,55,133306,49,23417,84,967932,100,4969,37
2022-08-27,2066542,70,874084,64,103192,77,90006,59,15575,94,977708,102,2214,47
2022-08-28,1651689,69,681823,62,86867,83,76296,73,14506,81,940460,102,1816,51
2022-08-29,2836374,55,1263000,63,180588,58,140540,52,22503,81,927114,95,5705,43
2022-08-30,3091873,60,1326293,66,195986,63,152025,56,24300,87,934163,96,6228,47
2022-08-31,3144027,61,1342568,67,197154,63,149499,55,25541,91,972327,100,6261,47
2022-09-01,3114667,54,1338287,58,186311,57,140082,49,25382,85,997846,105,6189,36
2022-09-02,2925306,51,1250956,54,185153,57,138009,48,24696,83,1006354,106,5307,31
2022-09-03,2116811,66,867750,62,116405,98,94997,62,15863,93,924383,97,2455,59
2022-09-04,1802349,71,701646,64,97728,98,77386,74,15428,90,901892,102,1894,65
2022-09-05,1691887,66,682671,62,93198,94,74585,71,9722,57,801463,91,1977,68
2022-09-06,3063503,53,1231759,53,190260,58,164255,57,24963,84,892569,94,6016,35
2022-09-07,3444556,60,1412342,61,203983,62,179628,62,26773,90,939358,99,6698,39
2022-09-08,3644407,63,1517502,65,199489,61,178788,62,27121,91,966189,101,7185,42
2022-09-09,3481756,60,1492297,64,189930,58,161197,56,25627,86,1009058,106,6432,38
2022-09-10,2356865,73,914744,65,103789,88,98043,64,15345,90,982329,103,1948,47
2022-09-11,1737251,68,659929,60,82638,83,72789,69,14467,84,862493,97,1275,44
2022-09-12,3382150,59,1519324,65,187548,57,163430,57,24947,84,925590,97,6863,40
2022-09-13,3618354,63,1557686,67,200171,61,180183,62,26317,89,921108,97,7552,44
2022-09-14,3741978,65,1590666,68,202713,62,181619,63,28124,95,954907,100,7740,45
2022-09-15,3747731,65,1573907,68,197284,60,175672,61,27391,92,981703,103,7725,45
2022-09-16,3502358,61,1501956,65,184424,56,155750,54,26025,88,1015255,107,6797,40
2022-09-17,2350888,73,916215,65,99403,84,101734,67,15828,92,971118,102,2693,65
2022-09-18,1844317,72,712161,65,86329,87,79158,75,15588,91,935291,106,1944,66
2022-09-19,3369999,58,1490926,64,187831,57,164392,57,24491,82,909943,96,7155,42
2022-09-20,3767024,65,1554448,67,203873,62,188771,65,26148,88,930442,98,7962,47
2022-09-21,3878782,67,1543632,66,204572,62,188361,65,27479,93,946181,99,8112,47
2022-09-22,3732919,65,1433737,62,190703,58,174952,61,26136,88,938754,99,7883,46
2022-09-23,3626482,63,1413234,61,190670,58,168866,59,25738,87,981726,103,6902,40
2022-09-24,2377091,74,860948,61,98192,83,115822,76,15593,91,944900,99,1975,48
2022-09-25,1759832,69,660871,60,81212,82,87366,83,14770,86,861534,97,1582,54
2022-09-26,2812853,49,1206954,52,177235,54,153930,53,21532,73,868980,91,5848,34
2022-09-27,3204114,56,1290217,56,192275,59,176941,61,24344,82,886658,93,6744,39
2022-09-28,3712354,64,1541900,66,201525,62,179234,62,27423,92,930967,98,7903,46
2022-09-29,3707751,64,1503472,65,194288,59,173138,60,26857,90,960265,101,7738,45
