"Col1","person","dept","eow","cause","cause_short","date","year","canine","dept_name","state","description","latitude","longitude","state_name"
"2592","Deputy Sheriff Samuel F. Smith","Crawford County Sheriff's Office, GA","EOW: Friday, March 2, 2001","Cause of Death: Heart attack","Heart attack","2001-03-02","2001","False","Crawford County Sheriff's Office","GA","Atlanta<br>","33.749027","-84.388229","Georgia"
"2593","K9 Ivan","Sacramento Police Department, CA","EOW: Friday, March 2, 2001","Cause of Death: Fall","Fall","2001-03-02","2001","True","Sacramento Police Department","CA","Sacramento","38.576668","-121.493629","California"
"2594","Deputy Sheriff Angelic Suzette Garcia","Bernalillo County Sheriff's Department, NM","EOW: Sunday, March 4, 2001","Cause of Death: Automobile accident","Automobile accident","2001-03-04","2001","False","Bernalillo County Sheriff's Department","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"2595","Master Police Officer Steven J. Underwood","Des Moines Police Department, WA","EOW: Wednesday, March 7, 2001","Cause of Death: Gunfire","Gunfire","2001-03-07","2001","False","Des Moines Police Department","WA","Olympia","47.035805","-122.905014","Washington"
"2596","Agent Michael Joseph Cowdery, Jr.","Baltimore City Police Department, MD","EOW: Tuesday, March 13, 2001","Cause of Death: Gunfire","Gunfire","2001-03-13","2001","False","Baltimore City Police Department","MD","Annapolis","38.978764","-76.490936","Maryland"
"2597","Officer James William Naim","Aliquippa Police Department, PA","EOW: Thursday, March 15, 2001","Cause of Death: Gunfire","Gunfire","2001-03-15","2001","False","Aliquippa Police Department","PA","Harrisburg","40.264378","-76.883598","Pennsylvania"
"2598","Sergeant Gary R. Wagers","California Highway Patrol, CA","EOW: Thursday, March 15, 2001","Cause of Death: Automobile accident","Automobile accident","2001-03-15","2001","False","California Highway Patrol","CA","Sacramento","38.576668","-121.493629","California"
"2599","Trooper John Robert Davis","Tennessee Highway Patrol, TN","EOW: Saturday, March 17, 2001","Cause of Death: Automobile accident","Automobile accident","2001-03-17","2001","False","Tennessee Highway Patrol","TN","Nashville","36.16581","-86.784241","Tennessee"
"2600","Officer Terry Eugene Foster","Independence Police Department, MO","EOW: Saturday, March 17, 2001","Cause of Death: Gunfire","Gunfire","2001-03-17","2001","False","Independence Police Department","MO","Jefferson City","38.579201","-92.172935","Missouri"
"2601","Sergeant Donald Frederick Flusche, Jr.","Dallas Police Department, TX","EOW: Saturday, March 17, 2001","Cause of Death: Automobile accident","Automobile accident","2001-03-17","2001","False","Dallas Police Department","TX","Austin","30.27467","-97.740349","Texas"
"2602","Patrolman Robert J. Ventura","Jackson Township Police Department, NJ","EOW: Sunday, March 18, 2001","Cause of Death: Automobile accident","Automobile accident","2001-03-18","2001","False","Jackson Township Police Department","NJ","Trenton","40.220596","-74.769913","New Jersey"
"2603","Sheriff E. C. Mullins","Simpson County Sheriff's Department, MS","EOW: Tuesday, March 20, 2001","Cause of Death: Assault","Assault","2001-03-20","2001","False","Simpson County Sheriff's Department","MS","Jackson","32.303848","-90.182106","Mississippi"
"2604","Patrolman III Douglas Michael Adams","Elkhart Police Department, IN","EOW: Tuesday, March 20, 2001","Cause of Death: Automobile accident","Automobile accident","2001-03-20","2001","False","Elkhart Police Department","IN","Indianapolis","39.768623","-86.162643","Indiana"
"2605","Patrolman Hector Garza","San Antonio Police Department, TX","EOW: Thursday, March 29, 2001","Cause of Death: Gunfire","Gunfire","2001-03-29","2001","False","San Antonio Police Department","TX","Austin","30.27467","-97.740349","Texas"
"2606","Police Officer Neil Keith Wells","Detroit Police Department, MI","EOW: Wednesday, April 4, 2001","Cause of Death: Gunfire","Gunfire","2001-04-04","2001","False","Detroit Police Department","MI","Lansing","42.733635","-84.555328","Michigan"
"2607","Investigator Sherry Elizabeth Lyons-Williams","Atlanta Police Department, GA","EOW: Wednesday, April 4, 2001","Cause of Death: Gunfire","Gunfire","2001-04-04","2001","False","Atlanta Police Department","GA","Atlanta<br>","33.749027","-84.388229","Georgia"
"2608","Deputy Sheriff Loutricia Sowell Bonfanti","Leon County Sheriff's Office, TX","EOW: Saturday, April 7, 2001","Cause of Death: Automobile accident","Automobile accident","2001-04-07","2001","False","Leon County Sheriff's Office","TX","Austin","30.27467","-97.740349","Texas"
"2609","Lieutenant Claton Morris Medrano","Harrison County Sheriff's Office, TX","EOW: Friday, April 27, 2001","Cause of Death: Gunfire","Gunfire","2001-04-27","2001","False","Harrison County Sheriff's Office","TX","Austin","30.27467","-97.740349","Texas"
"2610","Lieutenant Christopher Neal Claypool","Columbus Division of Police, OH","EOW: Sunday, April 29, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-04-29","2001","False","Columbus Division of Police","OH","Columbus","39.961346","-82.999069","Ohio"
"2611","Officer Dannygriggs M. Padayao","Honolulu Police Department, HI","EOW: Monday, April 30, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-04-30","2001","False","Honolulu Police Department","HI","Honolulu","21.307442","-157.857376","Hawaii"
"2612","Deputy Sheriff Jason Patrick Lopez","Pinal County Sheriff's Office, AZ","EOW: Friday, May 4, 2001","Cause of Death: Gunfire","Gunfire","2001-05-04","2001","False","Pinal County Sheriff's Office","AZ","Phoenix","33.448143","-112.096962","Arizona"
"2613","Police Officer Ryan Jay Cunningham","Vail Police Department, CO","EOW: Sunday, May 6, 2001","Cause of Death: Fall","Fall","2001-05-06","2001","False","Vail Police Department","CO","Denver","39.739227","-104.984856","Colorado"
"2614","Police Officer Craig W. Schultz","Kansas City Police Department, MO","EOW: Wednesday, May 9, 2001","Cause of Death: Motorcycle accident","Motorcycle accident","2001-05-09","2001","False","Kansas City Police Department","MO","Jefferson City","38.579201","-92.172935","Missouri"
"2615","Senior Trooper Richard Dale Cottle","Texas Department of Public Safety - Texas Highway Patrol, TX","EOW: Wednesday, May 9, 2001","Cause of Death: Automobile accident","Automobile accident","2001-05-09","2001","False","Texas Department of Public Safety - Texas Highway Patrol","TX","Austin","30.27467","-97.740349","Texas"
"2616","Police Officer Brian Joe Ramey","Bladenboro Police Department, NC","EOW: Saturday, May 12, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-05-12","2001","False","Bladenboro Police Department","NC","Raleigh","35.78043","-78.639099","North Carolina"
"2617","K9 Rocco","Long Beach Police Department, CA","EOW: Wednesday, May 16, 2001","Cause of Death: Fall","Fall","2001-05-16","2001","True","Long Beach Police Department","CA","Sacramento","38.576668","-121.493629","California"
"2618","Sergeant Wilbur Lewis Berry","Bulloch County Sheriff's Office, GA","EOW: Saturday, May 19, 2001","Cause of Death: Gunfire","Gunfire","2001-05-19","2001","False","Bulloch County Sheriff's Office","GA","Atlanta<br>","33.749027","-84.388229","Georgia"
"2619","Police Officer Alberto  ""Albert"" Vasquez","Houston Police Department, TX","EOW: Tuesday, May 22, 2001","Cause of Death: Gunfire","Gunfire","2001-05-22","2001","False","Houston Police Department","TX","Austin","30.27467","-97.740349","Texas"
"2620","Deputy Sheriff Joseph Norman Dennis","Harris County Sheriff's Office, TX","EOW: Tuesday, May 22, 2001","Cause of Death: Gunfire","Gunfire","2001-05-22","2001","False","Harris County Sheriff's Office","TX","Austin","30.27467","-97.740349","Texas"
"2621","Sergeant Enrico Venditte","Paterson Police Department, NJ","EOW: Wednesday, May 23, 2001","Cause of Death: Gunfire","Gunfire","2001-05-23","2001","False","Paterson Police Department","NJ","Trenton","40.220596","-74.769913","New Jersey"
"2622","Police Officer Larry Brian Mitchell","Gallup Police Department, NM","EOW: Wednesday, May 30, 2001","Cause of Death: Gunfire","Gunfire","2001-05-30","2001","False","Gallup Police Department","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"2623","Deputy Sheriff Haskel Gene McLane","Madison County Sheriff's Office, AL","EOW: Thursday, May 31, 2001","Cause of Death: Vehicle pursuit","Vehicle pursuit","2001-05-31","2001","False","Madison County Sheriff's Office","AL","Montgomery","32.377716","-86.300568","Alabama"
"2624","Acting Chief Daniel Carrol Dalley","Fruita Police Department, CO","EOW: Monday, June 4, 2001","Cause of Death: Motorcycle accident","Motorcycle accident","2001-06-04","2001","False","Fruita Police Department","CO","Denver","39.739227","-104.984856","Colorado"
"2625","Sergeant Myron G. Deckard","Vermilion County Sheriff's Department, IL","EOW: Wednesday, June 6, 2001","Cause of Death: Gunfire","Gunfire","2001-06-06","2001","False","Vermilion County Sheriff's Department","IL","Springfield","39.798363","-89.654961","Illinois"
"2626","Deputy Sheriff Robby James Acosta","Iberville Parish Sheriff's Department, LA","EOW: Wednesday, June 6, 2001","Cause of Death: Animal related","Animal related","2001-06-06","2001","False","Iberville Parish Sheriff's Department","LA","Baton Rouge","30.457069","-91.187393","Louisiana"
"2627","Corporal Joseph Thomas Cushman","Arlington Police Department, TX","EOW: Thursday, June 7, 2001","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","2001-06-07","2001","False","Arlington Police Department","TX","Austin","30.27467","-97.740349","Texas"
"2628","Patrolman Denny Kyle Haslett","Nashville Police Department, IL","EOW: Friday, June 8, 2001","Cause of Death: Heart attack","Heart attack","2001-06-08","2001","False","Nashville Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"2629","Police Officer Charles Leon McDonald","Forest Park Police Department, OH","EOW: Saturday, June 9, 2001","Cause of Death: Duty related illness","Duty related illness","2001-06-09","2001","False","Forest Park Police Department","OH","Columbus","39.961346","-82.999069","Ohio"
"2630","Sergeant William J. Collins, Jr.","Hardin County Sheriff's Department, KY","EOW: Saturday, June 9, 2001","Cause of Death: Gunfire","Gunfire","2001-06-09","2001","False","Hardin County Sheriff's Department","KY","Frankfort","38.186722","-84.875374","Kentucky"
"2631","Deputy Sheriff Jimmy Bruce Graham","Hemphill County Sheriff's Department, TX","EOW: Sunday, June 17, 2001","Cause of Death: Gunfire","Gunfire","2001-06-17","2001","False","Hemphill County Sheriff's Department","TX","Austin","30.27467","-97.740349","Texas"
"2632","Master Sergeant Stanley W. Talbot","Illinois State Police, IL","EOW: Saturday, June 23, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-06-23","2001","False","Illinois State Police","IL","Springfield","39.798363","-89.654961","Illinois"
"2633","Trooper James A. Moen","Alaska State Troopers - Fish and Wildlife Protection, AK","EOW: Monday, June 25, 2001","Cause of Death: Aircraft accident","Aircraft accident","2001-06-25","2001","False","Alaska State Troopers - Fish and Wildlife Protection","AK","Juneau","58.301598","-134.420212","Alaska"
"2634","Captain Tommy F. Bernal","Fairfax County Police Department, VA","EOW: Thursday, June 28, 2001","Cause of Death: Motorcycle accident","Motorcycle accident","2001-06-28","2001","False","Fairfax County Police Department","VA","Richmond","37.538857","-77.43364","Virginia"
"2635","Police Officer Brian Timothy Strouse","Chicago Police Department, IL","EOW: Saturday, June 30, 2001","Cause of Death: Gunfire","Gunfire","2001-06-30","2001","False","Chicago Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"2636","Sheriff Harold Ray Presley","Lee County Sheriff's Department, MS","EOW: Friday, July 6, 2001","Cause of Death: Gunfire","Gunfire","2001-07-06","2001","False","Lee County Sheriff's Department","MS","Jackson","32.303848","-90.182106","Mississippi"
"2637","Chief of Police Cecil F. Gurr","Roosevelt Police Department, UT","EOW: Friday, July 6, 2001","Cause of Death: Gunfire","Gunfire","2001-07-06","2001","False","Roosevelt Police Department","UT","Salt Lake City","40.777477","-111.888237","Utah"
"2638","Police Officer Domenick J. Infantes, Jr.","Jersey City Police Department, NJ","EOW: Friday, July 6, 2001","Cause of Death: Assault","Assault","2001-07-06","2001","False","Jersey City Police Department","NJ","Trenton","40.220596","-74.769913","New Jersey"
"2639","Officer Lois Marie Marrero","Tampa Police Department, FL","EOW: Friday, July 6, 2001","Cause of Death: Gunfire","Gunfire","2001-07-06","2001","False","Tampa Police Department","FL","Tallahassee","30.438118","-84.281296","Florida"
"2640","Correctional Officer Ronald Owen MacDonald","Michigan Department of Corrections, MI","EOW: Sunday, July 8, 2001","Cause of Death: Fall","Fall","2001-07-08","2001","False","Michigan Department of Corrections","MI","Lansing","42.733635","-84.555328","Michigan"
"2641","Patrolman Rodney Raylyn Kendricks","Lubbock Police Department, TX","EOW: Sunday, July 8, 2001","Cause of Death: Motorcycle accident","Motorcycle accident","2001-07-08","2001","False","Lubbock Police Department","TX","Austin","30.27467","-97.740349","Texas"
"2642","Patrol Officer Justin Todd Wollam","Anchorage Police Department, AK","EOW: Monday, July 9, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-07-09","2001","False","Anchorage Police Department","AK","Juneau","58.301598","-134.420212","Alaska"
"2643","Sergeant Daniel Robert Starnes","Morgan County Sheriff's Department, IN","EOW: Tuesday, July 10, 2001","Cause of Death: Gunfire","Gunfire","2001-07-10","2001","False","Morgan County Sheriff's Department","IN","Indianapolis","39.768623","-86.162643","Indiana"
"2644","Sergeant Kevin Dale Cox","Lubbock Police Department, TX","EOW: Friday, July 13, 2001","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","2001-07-13","2001","False","Lubbock Police Department","TX","Austin","30.27467","-97.740349","Texas"
"2645","Lieutenant Leonard Bruce Estes","Butte County Sheriff's Office, CA","EOW: Thursday, July 26, 2001","Cause of Death: Gunfire","Gunfire","2001-07-26","2001","False","Butte County Sheriff's Office","CA","Sacramento","38.576668","-121.493629","California"
"2646","Deputy Sheriff William Robert Hunter","Butte County Sheriff's Office, CA","EOW: Thursday, July 26, 2001","Cause of Death: Gunfire","Gunfire","2001-07-26","2001","False","Butte County Sheriff's Office","CA","Sacramento","38.576668","-121.493629","California"
"2647","Chief Deputy Willie Perry","Leake County Sheriff's Office, MS","EOW: Sunday, July 29, 2001","Cause of Death: Struck by vehicle","Struck by vehicle","2001-07-29","2001","False","Leake County Sheriff's Office","MS","Jackson","32.303848","-90.182106","Mississippi"
"2648","K9 Buddy","Bremerton Police Department, WA","EOW: Monday, July 30, 2001","Cause of Death: Gunfire","Gunfire","2001-07-30","2001","True","Bremerton Police Department","WA","Olympia","47.035805","-122.905014","Washington"
"2649","Patrolman Lloyd R. Aragon, Sr.","New Mexico State Police, NM","EOW: Wednesday, August 1, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-08-01","2001","False","New Mexico State Police","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"2650","Game Warden Michael Charles Pauling","Texas Parks and Wildlife Department - Law Enforcement Division, TX","EOW: Thursday, August 2, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-08-02","2001","False","Texas Parks and Wildlife Department - Law Enforcement Division","TX","Austin","30.27467","-97.740349","Texas"
"2651","Detective Kevin Darrell Rice, Sr.","Rockford Police Department, IL","EOW: Friday, August 3, 2001","Cause of Death: Gunfire","Gunfire","2001-08-03","2001","False","Rockford Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"2652","Chief of Police Luis M. Castillo","Jal Police Department, NM","EOW: Friday, August 3, 2001","Cause of Death: Automobile accident","Automobile accident","2001-08-03","2001","False","Jal Police Department","NM","Santa Fe","35.68224","-105.939728","New Mexico"
"2653","Police Officer Joseph Dan Adams","Lehi Police Department, UT","EOW: Saturday, August 4, 2001","Cause of Death: Gunfire","Gunfire","2001-08-04","2001","False","Lehi Police Department","UT","Salt Lake City","40.777477","-111.888237","Utah"
"2654","Detective David L. Taylor","Greensboro Police Department, NC","EOW: Tuesday, August 7, 2001","Cause of Death: Heat exhaustion","Heat exhaustion","2001-08-07","2001","False","Greensboro Police Department","NC","Raleigh","35.78043","-78.639099","North Carolina"
"2655","Chief of Police James Richard Dacy","Pierce City Police Department, MO","EOW: Wednesday, August 8, 2001","Cause of Death: Gunfire (Accidental)","Gunfire (Accidental)","2001-08-08","2001","False","Pierce City Police Department","MO","Jefferson City","38.579201","-92.172935","Missouri"
"2656","Officer Stephen Michael Linen, Jr.","California Highway Patrol, CA","EOW: Sunday, August 12, 2001","Cause of Death: Vehicular assault","Vehicular assault","2001-08-12","2001","False","California Highway Patrol","CA","Sacramento","38.576668","-121.493629","California"
"2657","Senior Deputy Michael Benjamin Meyer","Yuma County Sheriff's Department, AZ","EOW: Monday, August 13, 2001","Cause of Death: Automobile accident","Automobile accident","2001-08-13","2001","False","Yuma County Sheriff's Department","AZ","Phoenix","33.448143","-112.096962","Arizona"
"2658","Police Officer Richard Eugene Perkins","Bishop Police Department, CA","EOW: Wednesday, August 15, 2001","Cause of Death: Automobile accident","Automobile accident","2001-08-15","2001","False","Bishop Police Department","CA","Sacramento","38.576668","-121.493629","California"
"2659","Police Officer Eric D. Lee","Chicago Police Department, IL","EOW: Sunday, August 19, 2001","Cause of Death: Gunfire","Gunfire","2001-08-19","2001","False","Chicago Police Department","IL","Springfield","39.798363","-89.654961","Illinois"
"2660","Deputy Sheriff Erik Jon Telen","Fresno County Sheriff's Department, CA","EOW: Tuesday, August 21, 2001","Cause of Death: Gunfire","Gunfire","2001-08-21","2001","False","Fresno County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"2661","Police Officer John C. Bohach","Reno Police Department, NV","EOW: Wednesday, August 22, 2001","Cause of Death: Gunfire","Gunfire","2001-08-22","2001","False","Reno Police Department","NV","Carson City","39.163914","-119.766121","Nevada"
"2662","Police Officer Terry McDowell","Whitehall Police Department, OH","EOW: Friday, August 24, 2001","Cause of Death: Gunfire","Gunfire","2001-08-24","2001","False","Whitehall Police Department","OH","Columbus","39.961346","-82.999069","Ohio"
"2663","Detective Corporal Louis William Donald, Jr.","Gary Police Department, IN","EOW: Monday, August 27, 2001","Cause of Death: Vehicle pursuit","Vehicle pursuit","2001-08-27","2001","False","Gary Police Department","IN","Indianapolis","39.768623","-86.162643","Indiana"
"2664","Deputy Sheriff Hagop Jake Kuredjian","Los Angeles County Sheriff's Department, CA","EOW: Friday, August 31, 2001","Cause of Death: Gunfire","Gunfire","2001-08-31","2001","False","Los Angeles County Sheriff's Department","CA","Sacramento","38.576668","-121.493629","California"
"2665","District Wildlife Manager Philip K. Mason","Colorado Department of Natural Resources - Wildlife Division, CO","EOW: Monday, September 3, 2001","Cause of Death: Accidental","Accidental","2001-09-03","2001","False","Colorado Department of Natural Resources - Wildlife Division","CO","Denver","39.739227","-104.984856","Colorado"
"2666","Police Officer Jason Alan Hoerauf","Albany Police Department, OR","EOW: Tuesday, September 4, 2001","Cause of Death: Struck by vehicle","Struck by vehicle","2001-09-04","2001","False","Albany Police Department","OR","Salem","44.938461","-123.030403","Oregon"
"2667","Senior Trooper Maria Mignano","Oregon State Police, OR","EOW: Tuesday, September 4, 2001","Cause of Death: Struck by vehicle","Struck by vehicle","2001-09-04","2001","False","Oregon State Police","OR","Salem","44.938461","-123.030403","Oregon"
"2668","Deputy Sheriff Donald Kenneth Bond","Hamilton County Sheriff's Department, TN","EOW: Thursday, September 6, 2001","Cause of Death: Gunfire","Gunfire","2001-09-06","2001","False","Hamilton County Sheriff's Department","TN","Nashville","36.16581","-86.784241","Tennessee"
"2669","Police Officer Gregg Froehner","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2670","Police Officer Thomas Gorman","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2671","Senior Court Officer Mitchel Scott Wallace","New York State Office of Court Administration, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Court Administration","NY","Albany","42.652843","-73.757874","New York"
"2672","Police Officer George Howard","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2673","Chief James Romito","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2674","Captain Kathy Mazza","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2675","Bureau Chief Charles Mills","New York State Office of Tax Enforcement - Petroleum, Alcohol and Tobacco Bureau, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Tax Enforcement - Petroleum, Alcohol and Tobacco Bureau","NY","Albany","42.652843","-73.757874","New York"
"2676","Assistant Deputy Commissioner William Pohlmann","New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Tax Enforcement - Revenue Crimes Bureau","NY","Albany","42.652843","-73.757874","New York"
"2677","Senior Court Officer Thomas Jurgens","New York State Office of Court Administration, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Court Administration","NY","Albany","42.652843","-73.757874","New York"
"2678","Captain William Thompson","New York State Office of Court Administration, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Court Administration","NY","Albany","42.652843","-73.757874","New York"
"2679","Police Officer Donald Foreman","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2680","Police Officer Clinton Davis","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2681","Detective Joseph Vigiano","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2682","Director of Public Safety Fred V. Morrone","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2683","Inspector Anthony Infante","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2684","Investigator Clyde Frazier","New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Tax Enforcement - Revenue Crimes Bureau","NY","Albany","42.652843","-73.757874","New York"
"2685","Police Officer Liam Callahan","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2686","Police Officer Maurice Barry","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2687","Investigator Salvatore Papasso","New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Tax Enforcement - Revenue Crimes Bureau","NY","Albany","42.652843","-73.757874","New York"
"2688","Investigator Richard Moore","New York State Office of Tax Enforcement - Revenue Crimes Bureau, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York State Office of Tax Enforcement - Revenue Crimes Bureau","NY","Albany","42.652843","-73.757874","New York"
"2689","Police Officer Christopher Amoroso","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2690","Lieutenant Robert Cirri","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2691","Detective Claude Richards","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2692","Fire Marshal Ronald P. Bucca","New York City Fire Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Fire Department","NY","Albany","42.652843","-73.757874","New York"
"2693","Police Officer Kenneth Tietjen","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2694","Police Officer Nathaniel Webb","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2695","Police Officer James Nelson","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
"2696","Police Officer Ronald Kloepfer","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2697","Police Officer Thomas Langone","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2698","Police Officer John D'Allara","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2699","Police Officer Jerome M. Dominguez","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2700","Police Officer Vincent Danz","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2701","Police Officer Walter Weaver","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2702","Police Officer John Perry","New York City Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","New York City Police Department","NY","Albany","42.652843","-73.757874","New York"
"2703","Police Officer Alfonse Niedermeyer","Port Authority of New York and New Jersey Police Department, NY","EOW: Tuesday, September 11, 2001","Cause of Death: Terrorist attack","Terrorist attack","2001-09-11","2001","False","Port Authority of New York and New Jersey Police Department","NY","Albany","42.652843","-73.757874","New York"
