Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Latitude,Longitude,Location
63927501,1/29/2025 21:00,1/29/2025 21:24,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10457,1700 CROTONA AVENUE,CROTONA AVENUE,CLAREMONT PARKWAY,CROTONA PARK NORTH,CLAREMONT PARKWAY,CROTONA PARK NORTH,ADDRESS,BRONX,CROTONA AVENUE,,Closed,,1/29/2025 21:24,03 BRONX,BRONX,1013069,245178,Unspecified,BRONX,40.83958519,-73.89584756,POINT (-73.89584756419795 40.83958519358223)
63924732,1/29/2025 20:37,1/31/2025 12:07,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10303,1886 FOREST AVENUE,FOREST AVENUE,SANDERS STREET,LAKE AVENUE,SANDERS STREET,LAKE AVENUE,ADDRESS,STATEN ISLAND,FOREST AVENUE,,Closed,,1/30/2025 20:07,01 STATEN ISLAND,STATEN ISLAND,942051,167193,Unspecified,STATEN ISLAND,40.62548216,-74.15201883,POINT (-74.1520188265606 40.62548216494988)
63928473,1/29/2025 20:33,1/31/2025 12:39,DSNY,Department of Sanitation,Dead Animal,Other,Street,11204,1665 55 STREET,55 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,ADDRESS,BROOKLYN,55 STREET,,Closed,,1/30/2025 2:35,12 BROOKLYN,BROOKLYN,987716,167631,Unspecified,BROOKLYN,40.62678421,-73.98751375,POINT (-73.98751374986892 40.62678421013935)
63921841,1/29/2025 20:07,1/31/2025 12:37,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11204,2018 60 STREET,60 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,60 STREET,,Closed,,1/30/2025 2:37,12 BROOKLYN,BROOKLYN,989126,164832,Unspecified,BROOKLYN,40.61910088,-73.98243625,POINT (-73.98243625281083 40.61910087645329)
63922600,1/29/2025 19:55,1/29/2025 21:35,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11205,100 WASHINGTON PARK,WASHINGTON PARK,MYRTLE AVENUE,WILLOUGHBY AVENUE,MYRTLE AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,WASHINGTON PARK,,Closed,,1/29/2025 21:35,02 BROOKLYN,BROOKLYN,991541,191573,Unspecified,BROOKLYN,40.6924974,-73.97370832,POINT (-73.9737083167811 40.692497400764616)
63921438,1/29/2025 19:42,1/29/2025 21:57,NYPD,New York City Police Department,Animal-Abuse,Tortured,Residential Building/House,10463,3855 ORLOFF AVENUE,ORLOFF AVENUE,CANNON PLACE,CHARLES HALLEY PLACE,CANNON PLACE,CHARLES HALLEY PLACE,ADDRESS,BRONX,ORLOFF AVENUE,,Closed,,1/29/2025 21:57,08 BRONX,BRONX,1012907,261355,Unspecified,BRONX,40.88398668,-73.89636387,POINT (-73.89636386622949 40.88398667530114)
63922599,1/29/2025 19:27,1/29/2025 21:27,DPR,Department of Parks and Recreation,Animal in a Park,Domestic Strays,Park,10460,1041 EAST  172 STREET,EAST  172 STREET,BOONE AVENUE,WEST FARMS ROAD,BOONE AVENUE,WEST FARMS ROAD,ADDRESS,BRONX,EAST  172 STREET,,Closed,,1/29/2025 21:27,03 BRONX,BRONX,1016011,242606,Unspecified,BRONX,40.83251571,-73.88522731,POINT (-73.88522730857399 40.83251571262095)
63924078,1/29/2025 19:23,1/29/2025 19:23,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10456,1305 FINDLAY AVENUE,FINDLAY AVENUE,EAST 169 STREET,BEND,EAST  169 STREET,BEND,ADDRESS,BRONX,FINDLAY AVENUE,N/A,Closed,,1/31/2025 12:50,04 BRONX,BRONX,1008910,243605,Unspecified,BRONX,40.83528036,-73.91088404,POINT (-73.91088404459522 40.83528036017447)
63929031,1/29/2025 19:14,1/29/2025 19:44,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11236,1550 EAST  102 STREET,EAST  102 STREET,SEAVIEW AVENUE,SHORE PARKWAY,SEAVIEW AVENUE,SHORE PARKWAY,ADDRESS,BROOKLYN,EAST  102 STREET,,Closed,,1/29/2025 19:44,18 BROOKLYN,BROOKLYN,1016172,170757,Unspecified,BROOKLYN,40.63530758,-73.88498641,POINT (-73.8849864112296 40.63530757622645)
63926567,1/29/2025 19:06,1/29/2025 22:19,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11101,52-41 CENTER BOULEVARD,CENTER BOULEVARD,BORDEN AVENUE,54 AVENUE,BORDEN AVENUE,54 AVENUE,ADDRESS,LONG ISLAND CITY,CENTER BOULEVARD,,Closed,,1/29/2025 22:19,02 QUEENS,QUEENS,995153,209394,Unspecified,QUEENS,40.74140805,-73.96065441,POINT (-73.96065441435366 40.74140805386253)
63928958,1/29/2025 18:52,1/29/2025 19:44,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11236,1550 EAST  102 STREET,EAST  102 STREET,SEAVIEW AVENUE,SHORE PARKWAY,SEAVIEW AVENUE,SHORE PARKWAY,ADDRESS,BROOKLYN,EAST  102 STREET,,Closed,,1/29/2025 19:44,18 BROOKLYN,BROOKLYN,1016172,170757,Unspecified,BROOKLYN,40.63530758,-73.88498641,POINT (-73.8849864112296 40.63530757622645)
63929172,1/29/2025 18:46,1/30/2025 9:37,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11369,89-01 31 AVENUE,31 AVENUE,89 STREET,90 STREET,89 STREET,90 STREET,ADDRESS,EAST ELMHURST,31 AVENUE,,Closed,,1/30/2025 4:04,03 QUEENS,QUEENS,1017663,216166,Unspecified,QUEENS,40.75993907,-73.87938914,POINT (-73.87938914260711 40.75993906711714)
63921842,1/29/2025 18:44,1/30/2025 11:07,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11223,1935 OCEAN PARKWAY,OCEAN PARKWAY,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,BROOKLYN,OCEAN PARKWAY,,Closed,,1/30/2025 4:48,15 BROOKLYN,BROOKLYN,993643,158432,Unspecified,BROOKLYN,40.60153056,-73.96617456,POINT (-73.96617455592565 40.601530555295746)
63922591,1/29/2025 18:36,1/29/2025 19:24,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10301,927 VICTORY BOULEVARD,VICTORY BOULEVARD,SILVER LAKE PARK ROAD,EAST CHESHIRE PLACE,SILVER LAKE PARK ROAD,EAST CHESHIRE PLACE,ADDRESS,STATEN ISLAND,VICTORY BOULEVARD,,Closed,,1/29/2025 19:24,01 STATEN ISLAND,STATEN ISLAND,957229,165748,Unspecified,STATEN ISLAND,40.62157524,-74.09733546,POINT (-74.09733545955311 40.621575241322326)
63930391,1/29/2025 18:31,1/31/2025 16:15,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11433,108-25 160 STREET,160 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,160 STREET,,Closed,,1/30/2025 7:19,12 QUEENS,QUEENS,1041698,192585,Unspecified,QUEENS,40.69509165,-73.7928316,POINT (-73.79283160428528 40.69509165046368)
63925399,1/29/2025 18:28,1/30/2025 11:07,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Street,11229,2123 EAST   15 STREET,EAST   15 STREET,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,EAST   15 STREET,,Closed,,1/30/2025 4:49,15 BROOKLYN,BROOKLYN,996394,157214,Unspecified,BROOKLYN,40.59818405,-73.95627003,POINT (-73.95627002962622 40.598184049704585)
63929937,1/29/2025 17:57,1/29/2025 18:43,DPR,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,11235,SHEEPSHEAD BAY PIERS,SHEEPSHEAD BAY PIERS,EAST   21 STREET,DOOLEY STREET,EAST   21 STREET,DOOLEY STREET,UNRECOGNIZED,BROOKLYN,SHEEPSHEAD BAY PIERS,,Closed,,1/29/2025 18:43,15 BROOKLYN,BROOKLYN,999606,151807,Unspecified,BROOKLYN,40.58333794,-73.94471606,POINT (-73.9447160601293 40.5833379367654)
63925910,1/29/2025 17:53,1/31/2025 12:07,DSNY,Department of Sanitation,Dead Animal,Other,Street,10310,1 DAVIS AVENUE,DAVIS AVENUE,RICHMOND TERRACE,DELAFIELD PLACE,RICHMOND TERRACE,DELAFIELD PLACE,ADDRESS,STATEN ISLAND,DAVIS AVENUE,,Closed,,1/30/2025 5:23,01 STATEN ISLAND,STATEN ISLAND,953507,174111,Unspecified,STATEN ISLAND,40.64451775,-74.11078099,POINT (-74.11078098983492 40.64451775152084)
63926402,1/29/2025 17:43,1/29/2025 21:48,NYPD,New York City Police Department,Animal-Abuse,Tortured,Residential Building/House,11417,132-23 86 STREET,86 STREET,SUTTER AVENUE,PITKIN AVENUE,SUTTER AVENUE,PITKIN AVENUE,ADDRESS,OZONE PARK,86 STREET,,Closed,,1/29/2025 21:48,10 QUEENS,QUEENS,1025714,185312,Unspecified,QUEENS,40.67521828,-73.85051757,POINT (-73.85051756673192 40.67521828090064)
63930254,1/29/2025 17:12,2/2/2025 11:46,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11223,2401 EAST    3 STREET,EAST    3 STREET,AVENUE W,AVENUE X,AVENUE W,AVENUE X,ADDRESS,BROOKLYN,EAST    3 STREET,N/A,Closed,,1/29/2025 17:12,15 BROOKLYN,BROOKLYN,993259,154789,Unspecified,BROOKLYN,40.59153165,-73.96756225,POINT (-73.96756224895559 40.59153165445536)
63925183,1/29/2025 17:11,1/29/2025 20:27,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11385,1816 HIMROD STREET,HIMROD STREET,SENECA AVENUE,ONDERDONK AVENUE,SENECA AVENUE,ONDERDONK AVENUE,ADDRESS,RIDGEWOOD,HIMROD STREET,,Closed,,1/29/2025 20:27,05 QUEENS,QUEENS,1008297,196740,Unspecified,QUEENS,40.70664994,-73.91326698,POINT (-73.91326698290776 40.70664993625108)
63923049,1/29/2025 17:06,1/30/2025 9:34,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11369,89-06 31 AVENUE,31 AVENUE,89 STREET,90 STREET,89 STREET,90 STREET,ADDRESS,EAST ELMHURST,31 AVENUE,,Closed,,1/30/2025 4:02,03 QUEENS,QUEENS,1017675,216162,Unspecified,QUEENS,40.75992804,-73.87934585,POINT (-73.87934584616698 40.75992804279433)
63923934,1/29/2025 16:42,1/29/2025 16:42,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,11236,1550 EAST  102 STREET,EAST  102 STREET,SEAVIEW AVENUE,SHORE PARKWAY,SEAVIEW AVENUE,SHORE PARKWAY,ADDRESS,BROOKLYN,EAST  102 STREET,N/A,Closed,,2/13/2025 12:17,18 BROOKLYN,BROOKLYN,1016172,170757,Unspecified,BROOKLYN,40.63530758,-73.88498641,POINT (-73.8849864112296 40.63530757622645)
63930394,1/29/2025 16:38,1/30/2025 11:07,DSNY,Department of Sanitation,Dead Animal,Squirrel,Sidewalk,11229,2124 EAST   19 STREET,EAST   19 STREET,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,EAST   19 STREET,,Closed,,1/28/2025 23:15,15 BROOKLYN,BROOKLYN,997444,157354,Unspecified,BROOKLYN,40.59856682,-73.95248876,POINT (-73.95248875650205 40.59856682038202)
63926153,1/29/2025 16:36,1/29/2025 16:49,DPR,Department of Parks and Recreation,Animal in a Park,Injured Wildlife,Park,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,ADDRESS,NEW YORK,5 AVENUE,,Closed,,1/29/2025 16:49,64 MANHATTAN,MANHATTAN,994623,222956,Unspecified,MANHATTAN,40.7786329,-73.9625461,POINT (-73.96254609596876 40.77863290127972)
63921145,1/29/2025 16:04,1/30/2025 9:33,DSNY,Department of Sanitation,Dead Animal,Bird,Sidewalk,11385,58-03 METROPOLITAN AVENUE,METROPOLITAN AVENUE,FOREST AVENUE,60 STREET,FOREST AVENUE,60 STREET,ADDRESS,RIDGEWOOD,METROPOLITAN AVENUE,,Closed,,1/29/2025 22:16,05 QUEENS,QUEENS,1010318,199022,Unspecified,QUEENS,40.71290776,-73.90596879,POINT (-73.90596878519978 40.712907758212204)
63921437,1/29/2025 15:42,1/29/2025 16:41,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11691,22-42 NEW HAVEN AVENUE,NEW HAVEN AVENUE,BEACH   22 STREET,GRASSMERE TERRACE,BEACH   22 STREET,GRASSMERE TERRACE,ADDRESS,FAR ROCKAWAY,NEW HAVEN AVENUE,,Closed,,1/29/2025 16:41,14 QUEENS,QUEENS,1051843,158383,Unspecified,QUEENS,40.60114327,-73.75658971,POINT (-73.75658970886 40.60114326897727)
63927284,1/29/2025 15:38,1/31/2025 11:40,DSNY,Department of Sanitation,Dead Animal,Other,Street,10452,1434 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,WEST  171 STREET,BOSCOBEL PLACE,WEST  171 STREET,BOSCOBEL PLACE,ADDRESS,BRONX,UNDERCLIFF AVENUE,,Closed,,1/29/2025 21:12,04 BRONX,BRONX,1004934,246831,Unspecified,BRONX,40.844145,-73.9252425,POINT (-73.92524249963296 40.84414499529663)
63921494,1/29/2025 15:36,1/29/2025 15:36,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,11213,1453 PROSPECT PLACE,PROSPECT PLACE,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,PROSPECT PLACE,N/A,Closed,,2/13/2025 11:18,08 BROOKLYN,BROOKLYN,1004095,184528,Unspecified,BROOKLYN,40.67314124,-73.92845877,POINT (-73.92845877400181 40.673141240562664)
63926217,1/29/2025 15:33,1/29/2025 16:51,DPR,Department of Parks and Recreation,Animal in a Park,Domestic Strays,Park,10039,319 WEST  145 STREET,WEST  145 STREET,BRADHURST AVENUE,EDGECOMBE AVENUE,BRADHURST AVENUE,EDGECOMBE AVENUE,ADDRESS,NEW YORK,WEST  145 STREET,,Closed,,1/29/2025 16:51,10 MANHATTAN,MANHATTAN,1000010,239242,Unspecified,MANHATTAN,40.82332554,-73.94305698,POINT (-73.94305697510212 40.82332554323123)
63927445,1/29/2025 14:51,1/29/2025 17:15,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11222,MSGR MCGOLRICK PARK,MSGR MCGOLRICK PARK,DRIGGS AVENUE,NASSAU AVENUE,DRIGGS AVENUE,NASSAU AVENUE,UNRECOGNIZED,BROOKLYN,MONSIGNOR MCGOLRICK PARK,,Closed,,1/29/2025 17:15,01 BROOKLYN,BROOKLYN,999951,203215,Unspecified,BROOKLYN,40.724441,-73.94335433,POINT (-73.94335432615917 40.724441004030766)
63921418,1/29/2025 14:49,1/29/2025 17:15,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11222,MSGR MCGOLRICK PARK,MSGR MCGOLRICK PARK,DRIGGS AVENUE,NASSAU AVENUE,DRIGGS AVENUE,NASSAU AVENUE,UNRECOGNIZED,BROOKLYN,MONSIGNOR MCGOLRICK PARK,,Closed,,1/29/2025 17:15,01 BROOKLYN,BROOKLYN,999951,203215,Unspecified,BROOKLYN,40.724441,-73.94335433,POINT (-73.94335432615917 40.724441004030766)
63927894,1/29/2025 14:35,1/31/2025 14:52,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Street,11213,230 KINGSTON AVENUE,KINGSTON AVENUE,STERLING PLACE,ST JOHNS PLACE,STERLING PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,KINGSTON AVENUE,,Closed,,1/30/2025 7:37,08 BROOKLYN,BROOKLYN,1000344,184044,Unspecified,BROOKLYN,40.67182038,-73.94198228,POINT (-73.9419822804104 40.6718203832721)
63923968,1/29/2025 14:30,1/29/2025 16:18,NYPD,New York City Police Department,Animal-Abuse,Tortured,Residential Building/House,11212,333 EAST   92 STREET,EAST   92 STREET,CLARKSON AVENUE,LENOX ROAD,CLARKSON AVENUE,LENOX ROAD,ADDRESS,BROOKLYN,EAST   92 STREET,,Closed,,1/29/2025 16:18,17 BROOKLYN,BROOKLYN,1005646,178911,Unspecified,BROOKLYN,40.65772022,-73.92288525,POINT (-73.92288524782256 40.65772021582967)
63922858,1/29/2025 14:24,1/30/2025 14:03,DPR,Department of Parks and Recreation,Animal in a Park,Dead Animal,Park,10459,1490 SHERIDAN BOULEVARD,SHERIDAN BOULEVARD,EAST  172 STREET,EAST  173 STREET,EAST  172 STREET,EAST  173 STREET,ADDRESS,BRONX,SHERIDAN BOULEVARD,,Closed,,1/30/2025 14:03,09 BRONX,BRONX,1016457,242906,Unspecified,BRONX,40.83333751,-73.88361419,POINT (-73.88361418845034 40.83333751036954)
63921814,1/29/2025 14:17,1/30/2025 14:41,DSNY,Department of Sanitation,Dead Animal,Cat,Street,10305,338 MCCLEAN AVENUE,MCCLEAN AVENUE,PIAVE AVENUE,LINWOOD AVENUE,PIAVE AVENUE,LINWOOD AVENUE,ADDRESS,STATEN ISLAND,MC CLEAN AVENUE,,Closed,,1/30/2025 4:08,02 STATEN ISLAND,STATEN ISLAND,964310,156525,Unspecified,STATEN ISLAND,40.59627877,-74.07180095,POINT (-74.07180095435972 40.59627877311423)
63923050,1/29/2025 14:13,1/31/2025 12:39,DSNY,Department of Sanitation,Dead Animal,Squirrel,Sidewalk,11231,CLINTON STREET,CLINTON STREET,CLINTON STREET,HUNTINGTON STREET,CLINTON STREET,HUNTINGTON STREET,INTERSECTION,,,,Closed,,1/29/2025 23:29,06 BROOKLYN,BROOKLYN,983965,185712,Unspecified,BROOKLYN,40.67641329,-74.00102748,POINT (-74.00102747530818 40.676413292535784)
63922347,1/29/2025 14:11,1/31/2025 12:39,DSNY,Department of Sanitation,Dead Animal,Other,Sidewalk,11231,CLINTON STREET,CLINTON STREET,CLINTON STREET,NELSON STREET,CLINTON STREET,NELSON STREET,INTERSECTION,,,,Closed,,1/29/2025 23:30,06 BROOKLYN,BROOKLYN,984051,185942,Unspecified,BROOKLYN,40.67704459,-74.00071744,POINT (-74.00071743691872 40.67704459297517)
63928456,1/29/2025 13:36,1/29/2025 14:18,DSNY,Department of Sanitation,Dead Animal,Dog,Sidewalk,11236,EAST  108 STREET,EAST  108 STREET,EAST  108 STREET,SEAVIEW AVENUE,EAST  108 STREET,SEAVIEW AVENUE,INTERSECTION,,,,Closed,,1/29/2025 14:18,18 BROOKLYN,BROOKLYN,1017117,172123,Unspecified,BROOKLYN,40.6390535,-73.88157497,POINT (-73.88157496739797 40.639053495523314)
63929206,1/29/2025 13:27,1/31/2025 12:06,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,10301,CLOVE ROAD,CLOVE ROAD,CLOVE ROAD,VICTORY BOULEVARD,CLOVE ROAD,VICTORY BOULEVARD,INTERSECTION,,,,Closed,,1/29/2025 22:54,01 STATEN ISLAND,STATEN ISLAND,955513,163870,Unspecified,STATEN ISLAND,40.61641513,-74.10350886,POINT (-74.10350886164059 40.61641512545561)
63925375,1/29/2025 12:51,1/30/2025 15:27,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11411,216-47 114 AVENUE,114 AVENUE,SPRINGFIELD BOULEVARD,219 STREET,SPRINGFIELD BOULEVARD,219 STREET,ADDRESS,CAMBRIA HEIGHTS,114 AVENUE,,Closed,,1/30/2025 13:13,13 QUEENS,QUEENS,1056476,195119,Unspecified,QUEENS,40.70193859,-73.73951244,POINT (-73.73951243856061 40.701938590566336)
63930392,1/29/2025 12:43,1/31/2025 14:54,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,11225,670 FLATBUSH AVENUE,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,HAWTHORNE STREET,WESTBURY COURT,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,,1/29/2025 22:52,09 BROOKLYN,BROOKLYN,995293,178640,Unspecified,BROOKLYN,40.65699534,-73.96019962,POINT (-73.96019962261676 40.65699534418727)
63927956,1/29/2025 12:25,1/31/2025 14:51,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Sidewalk,11211,374 SOUTH    5 STREET,SOUTH    5 STREET,KEAP STREET,HOOPER STREET,KEAP STREET,HOOPER STREET,ADDRESS,BROOKLYN,SOUTH    5 STREET,,Closed,,1/29/2025 20:53,01 BROOKLYN,BROOKLYN,996940,197205,Unspecified,BROOKLYN,40.70794983,-73.95422866,POINT (-73.95422866386211 40.70794982750409)
63926481,1/29/2025 12:23,1/29/2025 12:23,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Dwelling,11418,85-05 101 STREET,101 STREET,85 ROAD,86 AVENUE,85 ROAD,86 AVENUE,ADDRESS,RICHMOND HILL,101 STREET,N/A,Closed,,3/5/2025 8:00,09 QUEENS,QUEENS,1026596,193245,Unspecified,QUEENS,40.69698834,-73.847288,POINT (-73.84728800439925 40.69698834203776)
63929763,1/29/2025 12:10,1/31/2025 12:39,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11230,1272 EAST    5 STREET,EAST    5 STREET,DEAD END,AVENUE L,DEAD END,AVENUE L,ADDRESS,BROOKLYN,EAST    5 STREET,,Closed,,1/30/2025 2:35,12 BROOKLYN,BROOKLYN,992286,165082,Unspecified,BROOKLYN,40.61978477,-73.97105338,POINT (-73.9710533797873 40.61978477178914)
63921480,1/29/2025 12:08,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,10304,54 RHINE AVENUE,RHINE AVENUE,MARY STREET,STEUBEN STREET,MARY STREET,STEUBEN STREET,ADDRESS,STATEN ISLAND,RHINE AVENUE,,In Progress,,,01 STATEN ISLAND,STATEN ISLAND,960323,162286,Unspecified,STATEN ISLAND,40.61208167,-74.08617794,POINT (-74.0861779442728 40.61208166972226)
63926497,1/29/2025 11:59,1/29/2025 12:45,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11238,540 WAVERLY AVENUE,WAVERLY AVENUE,FULTON STREET,ATLANTIC AVENUE,FULTON STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,WAVERLY AVENUE,,Closed,,1/29/2025 12:45,02 BROOKLYN,BROOKLYN,993780,187748,Unspecified,BROOKLYN,40.68199653,-73.96563979,POINT (-73.96563979033985 40.68199652570155)
63929936,1/29/2025 11:54,1/29/2025 11:55,DPR,Department of Parks and Recreation,Animal in a Park,Domestic Strays,Park,10457,1700 CROTONA AVENUE,CROTONA AVENUE,CLAREMONT PARKWAY,CROTONA PARK NORTH,CLAREMONT PARKWAY,CROTONA PARK NORTH,ADDRESS,BRONX,CROTONA AVENUE,,Closed,,1/29/2025 11:55,03 BRONX,BRONX,1013069,245178,Unspecified,BRONX,40.83958519,-73.89584756,POINT (-73.89584756419795 40.83958519358223)
63925210,1/29/2025 11:45,1/29/2025 11:45,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,11211,45 BUSHWICK AVENUE,BUSHWICK AVENUE,DEVOE STREET,AINSLIE STREET,DEVOE STREET,AINSLIE STREET,ADDRESS,BROOKLYN,BUSHWICK AVENUE,N/A,Closed,,2/5/2025 11:23,01 BROOKLYN,BROOKLYN,1000488,199211,Unspecified,BROOKLYN,40.71345002,-73.94142661,POINT (-73.94142661085148 40.71345002000099)
63924178,1/29/2025 11:17,1/31/2025 11:41,DSNY,Department of Sanitation,Dead Animal,Cat,Street,10466,4344 WILDER AVENUE,WILDER AVENUE,PITMAN AVENUE,NEREID AVENUE,PITMAN AVENUE,NEREID AVENUE,ADDRESS,BRONX,WILDER AVENUE,,Closed,,1/29/2025 23:09,12 BRONX,BRONX,1027429,266577,Unspecified,BRONX,40.89826029,-73.84381244,POINT (-73.84381243972642 40.89826028672083)
63929032,1/29/2025 11:12,1/29/2025 11:28,NYPD,New York City Police Department,Animal-Abuse,Tortured,Residential Building/House,11374,98-01 67 AVENUE,67 AVENUE,67 AVENUE FOOTBRIDGE,AUSTIN STREET,67 AVENUE FOOTBRIDGE,AUSTIN STREET,ADDRESS,REGO PARK,67 AVENUE,,Closed,,1/29/2025 11:28,06 QUEENS,QUEENS,1024248,203042,Unspecified,QUEENS,40.72388967,-73.85569736,POINT (-73.85569735780408 40.72388966841461)
63926697,1/29/2025 10:44,1/30/2025 9:33,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11379,73-04 68 AVENUE,68 AVENUE,73 PLACE,75 STREET,73 PLACE,75 STREET,ADDRESS,MIDDLE VILLAGE,68 AVENUE,,Closed,,1/29/2025 13:33,05 QUEENS,QUEENS,1017889,198159,Unspecified,QUEENS,40.71051348,-73.87866339,POINT (-73.87866338722195 40.71051348451014)
63927983,1/29/2025 10:28,1/31/2025 12:07,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,10314,59 REGIS DRIVE,REGIS DRIVE,ARMAND STREET,LENORE COURT,ARMAND STREET,LENORE COURT,ADDRESS,STATEN ISLAND,REGIS DRIVE,,Closed,,1/29/2025 20:57,01 STATEN ISLAND,STATEN ISLAND,940804,164991,Unspecified,STATEN ISLAND,40.61943212,-74.15649687,POINT (-74.1564968720141 40.61943211682331)
63925209,1/29/2025 10:21,1/29/2025 10:21,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,1-2 Family Dwelling,10301,253 FILLMORE STREET,FILLMORE STREET,LAFAYETTE AVENUE,CLINTON AVENUE,LAFAYETTE AVENUE,CLINTON AVENUE,ADDRESS,STATEN ISLAND,FILLMORE STREET,N/A,Closed,,2/3/2025 10:32,01 STATEN ISLAND,STATEN ISLAND,957346,173658,Unspecified,STATEN ISLAND,40.64328686,-74.09694554,POINT (-74.0969455350237 40.64328685878591)
63929764,1/29/2025 10:08,1/29/2025 13:56,DSNY,Department of Sanitation,Dead Animal,Rat or Mouse,Street,11364,226-17 64 AVENUE,64 AVENUE,224 STREET,CLOVERDALE BOULEVARD,224 STREET,CLOVERDALE BOULEVARD,ADDRESS,OAKLAND GARDENS,64 AVENUE,,Closed,,1/29/2025 12:21,11 QUEENS,QUEENS,1053292,212149,Unspecified,QUEENS,40.74870703,-73.75082096,POINT (-73.7508209551375 40.74870702963909)
63927965,1/29/2025 10:05,1/30/2025 9:33,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11379,73 PLACE,73 PLACE,73 PLACE,METROPOLITAN AVENUE,73 PLACE,METROPOLITAN AVENUE,INTERSECTION,,,,Closed,,1/29/2025 13:37,05 QUEENS,QUEENS,1017700,198965,Unspecified,QUEENS,40.71272648,-73.87934111,POINT (-73.87934110897481 40.71272647727823)
