Unknown Number of Deaths,0 Deaths,1-50 Deaths,51-100 Deaths,101-1000 Deaths,>1001 Deaths,"Unknown Number of Deaths, lat","Unknown Number of Deaths, lon","0 Deaths, lat","0 Deaths, lon","1-50 Deaths, lat","1-50 Deaths, lon","51-100 Deaths, lat","51-100 Deaths, lon","101-1000 Deaths, lat","101-1000 Deaths, lon",">1001 Deaths, lat",">1001 Deaths, lon"
"Philippines:  W Mindanao:  Cotabato,Polloc Harbor, 1871",,"Taiwan:  Tai-Chung County, 2000",,,,7.4,124.2,,,24.223,121.058,,,,,,
"Philippines:  Iloilo,Panay, 1902",,"Indonesia:  Southern Sumatera:  Lahat, 2000",,,,10.8,122.6,,,-4.612,101.905,,,,,,
"Turkey, 1859",,"Taiwan:  Nan-Tou, 2000",,,,40.2,25.8,,,23.843,121.225,,,,,,
"Uzbekistan:  Uzgut, 1799",,"Japan:  Near S Coast Honshu:  Kozu-Shima, 2000",,,,39.4,67.2,,,34.221,139.131,,,,,,
"Greece:  S, 1622",,"Nicaragua:  Masaya, 2000",,,,37.5,21,,,11.884,-85.988,,,,,,
"Balkans Nw:  Croatia, 1479",,"China:  Yunnan Province:  Wuding, 2000",,,,43,17.6,,,25.826,102.194,,,,,,
"Balkans Nw:  Bosnia-Herzegovina, 1386",,"Papua New Guinea:  New Ireland, Duke Of York, 2000",,,,44.2,17.7,,,-3.98,152.169,,,,,,
"Balkans Nw:  Croatia, 1482",,"Azerbaijan:  Baku, 2000",,,,42.6,18.1,,,40.245,49.946,,,,,,
"Balkans Nw:  Croatia, 1387",,"Turkmenistan:  Nebitdag-Turkmenbashi, 2000",,,,44.1,15.2,,,39.566,54.799,,,,,,
"Chile:  Arica, 1615",,"China:  Sichuan Province:  Kangding, Yajiang, 2001",,,,-18.5,-70.35,,,29.513,101.129,,,,,,
"Chile:  Valdivia, 1837",,"El Salvador:  Conchagua, 2001",,,,-42.5,-74,,,13.605,-88.795,,,,,,
"Greece:  Dodecanese Islands, 1483",,"China:  Yunnan:  Ninglang; Sichuan:  Yanyuan, 2001",,,,36.2,27.5,,,27.689,101.003,,,,,,
"Balkans Nw:  Croatia, 1471",,"Afghanistan:  Hindu Kush:  Parvan, 2001",,,,42.6,18.1,,,35.169,69.389,,,,,,
"Balkans Nw:  Croatia:  Vrana, 1418",,"Peru:  Arequipa, Arica, 2001",,,,43.9,15.6,,,-17.543,-72.077,,,,,,
"Chile, 1847",,"Peru:  Antabama, 2001",,,,-32.5,-71.3,,,-14.258,-72.683,,,,,,
"Portugal:  Lisbon, 1847",,"China:  Yunnan Province:  Yongsheng, 2001",,,,38.7,-9.2,,,26.316,100.648,,,,,,
"Greece:  Samothraki, 1893",,"Tajikistan:  Roghun, 2002",,,,40.5,25.5,,,38.673,69.902,,,,,,
"Balkans Nw:  Croatia, 1390",,"Papua New Guinea:  Aitape, 2002",,,,44.1,15.2,,,-3.212,142.427,,,,,,
"Balkans Nw:  Croatia, 1451",,"Rwanda:  Gisenyi, 2002",,,,42.6,18.1,,,-1.684,29.077,,,,,,
"Greece:  Dodecanese Islands, 1490",,"Turkey:  Afyon, 2002",,,,36.5,27,,,38.573,31.271,,,,,,
"Italy:  Argenta, 1624",,"Iran:  Baghan, 2002",,,,44.6,11.8,,,28.093,51.755,,,,,,
"Balkans Nw:  Croatia, 1399",,"Philippines:  Mindanao, 2002",,,,44.1,15.2,,,6.033,124.249,,,,,,
"Balkans Nw:  Serbia, 1456",,"Taiwan:  Taipei, 2002",,,,42.2,20.7,,,24.279,122.179,,,,,,
"Azores:  Terceira, 1614",,"Tajikistan; Afghanistan: Do Abi-Nahrin, 2002",,,,38.4,-24.1,,,39.959,69.417,,,,,,
"Turkey, 1383",,"Balkans Nw:  Kosovo; Macedonia:  N, 2002",,,,39.2,26.2,,,42.436,21.466,,,,,,
"Balkans Nw:  Croatia, 1459",,"Iran:  Western:  Kermanshah, 2002",,,,46.3,16.3,,,34.642,47.4,,,,,,
"Italy:  L'Aquila (Aquila), 1461",,"Georgia:  Tbilisi, 2002",,,,42.3,13.4,,,41.765,44.96,,,,,,
"Mexico:  Baja California, 1892",,"Tanzania:  Bunda, 2002",,,,31.5,-116.5,,,-2.907,33.733,,,,,,
"Italy:  Central, 1461",,"Indonesia:   Sulawesi:  Tojo, 2002",,,,42.3,13.5,,,-1.196,121.333,,,,,,
"Philippines:  E Mindanao:  Agusan River, 1893",,"Italy:  Sicily:  Palermo, 2002",,,,6.9,125.8,,,38.381,13.701,,,,,,
"Italy:  Mattinata, 1893",,"Papua New Guinea:  Kairiru Is, Muschu Is, Wewak, 2002",,,,41.75,16,,,-3.302,142.945,,,,,,
"Greece, 1612",,"India:  Andaman Islands:  Rongat, Diglipur,Ariel Bay, 2002",,,,38.8,20.8,,,13.036,93.068,,,,,,
"Italy:  Viterbo, 1114",,"Indonesia: New Guinea: Manokwari, Oransbari, Ransiki, 2002",,,,42.42,12.1,,,-1.757,134.297,,,,,,
"Greece:  Aegean Sea, 1389",,"Congo: Goma, Lwiro, Bukavu; Rwanda:  Mugera, Kigali, 2002",,,,38.5,26.5,,,-1.884,29.004,,,,,,
"Balkans Nw:  Croatia, 1574",,"Italy:  San Guiliano Di Puglia, Campobasso, 2002",,,,45.1,14.8,,,41.789,14.872,,,,,,
"Turkey, 1894",,"Pakistan:  Gilgit, 2002",,,,40.6,28.7,,,35.517,74.654,,,,,,
"California, 1836",,"Indonesia:  Sumatera:  Simeulue, 2002",,,,38,-122,,,2.824,96.085,,,,,,
"Venezuela:  Cumana, 1530",,"Pakistan:  Dashkin, Doian, Mushkin, 2002",,,,10.5,-64.2,,,35.414,74.515,,,,,,
"Balkans Nw:  Croatia, 1530",,"China:  Gansu Province:  Yumne, 2002",,,,42.6,18.1,,,39.736,97.443,,,,,,
"Azores:  Sao Miguel (San Miguel), 1591",,"Turkey:  Saglamtas, Pulumur, 2003",,,,37.5,-25.3,,,39.5,39.878,,,,,,
"California:  N Coast,Mendocino County, 1898",,"China:  S. Xinjiang:  Bachu, 2003",,,,39,-124,,,39.483,77.393,,,,,,
"Italy, 1898",,"Indonesia:  Flores:  Reo, 2003",,,,42.4,13,,,-8.294,120.743,,,,,,
"Chile, 1845",,"China:  S. Xinjiang:  Yopurga, 2003",,,,-18.5,-70.4,,,39.43,77.219,,,,,,
"Italy:  Siracusa, Militello, Catania, Nocosia, 1542",,"Indonesia:  Morotai, Berebere, Daruba, 2003",,,,37.07,15.3,,,2.354,128.855,,,,,,
"Turkey, 1845",,"Algeria:  Algiers, Boumerdes, Reghaia, 2003",,,,39.1,26.2,,,36.939,3.578,,,,,,
"Chile, 1520",,"Iran:  Southern: Gajjiabad, 2003",,,,-40,-74,,,28.355,54.169,,,,,,
"Balkans Nw:  Croatia, 1504",,"China:  Yunnan Province, 2003",,,,42.6,18.1,,,25.975,101.29,,,,,,
"Italy:  Vallo Di Diano, 1561",,"Bangladesh:  Rangamati, 2003",,,,40.5,15.5,,,22.854,92.306,,,,,,
"Chile, 1843",,"China:  Nei Mongol:  Lindong, Tianshan, 2003",,,,-29.9,-71.3,,,43.77,119.643,,,,,,
"Italy:  Vallo Di Diano, 1550",,"China:  Yunnan Province:  Dayao, 2003",,,,40.7,15.1,,,25.954,101.254,,,,,,
"Azores:  Praia Da Vitoria, 1841",,"China:  Gansu Province:  Minle, Shandan, 2003",,,,38.4,-25.3,,,38.4,100.951,,,,,,
"Azores:  Santa Barbara, Fregues, 1547",,"China:  Gansu Province:  Jone, Lintan, Minxian, 2003",,,,38.7,-27.3,,,34.712,103.834,,,,,,
"Balkans Nw:  Croatia:  Senj, 1590",,"China:  Yunnan Province:  Ludian, Zhaotong, 2003",,,,45,14.9,,,27.372,103.971,,,,,,
"Romania, 1516",,"China:  Xinjiang:  Zhaosu, 2003",,,,45.7,26.6,,,42.905,80.515,,,,,,
"Balkans Nw:  Croatia, 1516",,"Panama-Costa Rica:  Puerto Armuelles, 2003",,,,42.6,18.1,,,8.416,-82.824,,,,,,
"Balkans Nw:  Croatia, 1516",,"Indonesia:  Nabire, 2004",,,,42.6,18.1,,,-3.615,135.538,,,,,,
"Balkans Nw:  Slovenia:  Kapele, 1505",,"Pakistan:  Balakot, Batgram, Mansehra, 2004",,,,45.9,14.2,,,34.774,73.216,,,,,,
"Chile, 1604",,"Indonesia:  Sumatra:  Padangpanjang, 2004",,,,-29.9,-71.3,,,-0.466,100.655,,,,,,
"Greece:  Crete, 1604",,"Burundi:  Ruyaga, 2004",,,,35.5,25.5,,,-3.393,29.558,,,,,,
"Balkans Nw:  Croatia, 1502",,"Turkey:  Erzurum, 2004",,,,45.8,16.1,,,39.93,40.812,,,,,,
"Greece:  Crete, 1501",,"Afghanistan:  Hindu Kush:  Kabul, Samangan; Pakistan, 2004",,,,35.5,25,,,36.512,71.029,,,,,,
"Spain, 1589",,"Taiwan:  Hualien: Taroko Gorge National Park, 2004",,,,37.9,-4.8,,,24.081,121.611,,,,,,
"Balkans Nw:  Croatia, 1496",,"Pakistan:  Quetta, 2004",,,,43.5,16.1,,,30.126,67.121,,,,,,
"Balkans Nw:  Montenegro, 1608",,"Iran:  Mazandaran, Qazvin, Tehran, 2004",,,,42.4,18.7,,,36.29,51.61,,,,,,
"Italy:  Reggio Di Calabria, 1509",,"Turkey:  Dogubeyazit, 2004",,,,38.1,15.7,,,39.766,43.979,,,,,,
"Bolivia:  Southern, 1899",,"Slovenia: Bovec, Kobarid, 2004",,,,-21.97,-63.67,,,46.296,13.641,,,,,,
"Greece:  Ioannina, 1898",,"New Zealand:  North Island:  Rotorua, Tauranga, 2004",,,,39.75,20.75,,,-38,176.51,,,,,,
"Albania:  Durres, 1895",,"Afghanistan: Paktia Province, 2004",,,,41.2,19.3,,,33.426,69.524,,,,,,
"Balkans Nw:  Montenegro, 1608",,"Turkey:  Dogubeyazit, 2004",,,,42.4,18.7,,,39.634,43.966,,,,,,
"Turkmenistan:  Uzun-Ada, 1895",,"China:  Yunnan Province:  Ludian, 2004",,,,39.5,53.7,,,27.266,103.873,,,,,,
"France:  Near S Coast, 1494",,"Turkey:  Elazig, Sivrice, 2004",,,,43.8,7,,,38.377,39.261,,,,,,
"Italy:  Florence, S. Martino, Bossi, 1895",,"Argentina: Catamarca, 2004",,,,43.9,11.1,,,-28.573,-65.84,,,,,,
"Uzbekistan:  Gazli, Bukhara, 1976",,"Japan:  Honshu:  Niigata Prefecture, 2004",,,,40.38,63.47,,,37.226,138.779,,,,,,
"Greece-Albania, 1895",,"Indonesia:  Kepulauan Alor, 2004",,,,39.5,20.5,,,-8.152,124.868,,,,,,
"Greece:  S, 1514",,"Costa Rica:  San Jose, Parrita, Quepos, 2004",,,,37.8,21,,,9.602,-84.172,,,,,,
"Albania:  Gjirokaster, 1895",,"Guadeloupe:  Basse-Terre, Les Saintes, 2004",,,,40,20.1,,,15.679,-61.706,,,,,,
"Albania, 1380",,"Indonesia:  Sulawesi:  Palu, 2005",,,,41.1,20.1,,,-1.198,119.933,,,,,,
"Austria, 1928",,"Turkey:  Hakkari, 2005",,,,46.4,13,,,37.622,43.703,,,,,,
"Syria, 522",,"Indonesia:  Java:  Garut, 2005",,,,36.2,36.1,,,-7.037,107.819,,,,,,
"Balkans Nw:  Slovenia, 1510",,"South Africa:  Klerksdorp, Stilfontein, 2005",,,,46.1,14.5,,,-26.913,26.789,,,,,,
"Peru:  Omate, 1600",,"Japan:  Kyushu:  Fukuoka, Genkai, 2005",,,,-16.6,-70.8,,,33.807,130.131,,,,,,
"Balkans Nw:  Montenegro, 1563",,"Chile:  Tarapaca, 2005",,,,42.4,18.8,,,-19.987,-69.197,,,,,,
"Azerbaijan:  Shemakha (Semacha), 1872",,"China:  Daqing, 2005",,,,40.6,48.7,,,46.827,125.058,,,,,,
"Turkey:  Antakya (Antioch), 457",,"Peru:  Lamas, Chachapoyas, Moyobamba, Tarapota, 2005",,,,36.2,36.1,,,-5.678,-76.398,,,,,,
"Greece:  Crete, 448",,"Turkey:  Izmir, 2005",,,,35,25,,,38.152,26.751,,,,,,
"Greece:  Crete, 438",,"China:  Guangxi Province, 2005",,,,35.5,25.5,,,23.604,107.798,,,,,,
"Azerbaijan, 427",,"China:  Jiangxi:  Jiujiang, Ruichang, 2005",,,,40.5,46.5,,,29.695,115.689,,,,,,
"Israel:  Jerusalem, Palestine, Ramleh; Egypt, 425",,"Iran:  Qeshm, Zirang, 2005",,,,31.9,34.9,,,26.774,55.858,,,,,,
"Chile, 1870",,"Congo:  Kalemie, 2005",,,,-22.5,-68.9,,,-6.224,29.83,,,,,,
"Italy:  Benevento, 369",,"Afghanistan:  Tili, Jalalabad, Badakhshan, 2005",,,,41.1,14.8,,,36.357,71.093,,,,,,
"Turkey, 362",,"India:  Jausari, Chamoli, Nandprayag, 2005",,,,41,29.5,,,30.476,79.255,,,,,,
"Lebanon:  Tarabulus (Tripolis); Syria, 494",,"India:  Sikkim, 2006",,,,34.3,35.5,,,27.382,88.388,,,,,,
"Tunisia:  Utique, 412",,"Mozambique, 2006",,,,37.067,10.067,,,-21.324,33.583,,,,,,
"Greece:  Menteche-Marmaritza, 1869",,"Pakistan:  Mirpur District, 2006",,,,37,28,,,33.129,73.887,,,,,,
"Italy:  Sora, Donato, 1873",,"Algeria:  Northern, 2006",,,,41.7,13.7,,,36.623,5.328,,,,,,
"Russia:  Komandorsky Island, 1858",,"Iran:  Southern, 2006",,,,55,166,,,27.574,55.685,,,,,,
"Kazakhstan:  Vernensk, 1887",,"Iran:  Southern:  Qeshm, 2006",,,,43.1,76.8,,,26.759,55.843,,,,,,
"Balkans Nw:  Slovenia, 567",,"China:  Yanjin, 2006",,,,45.6,15.3,,,27.995,104.138,,,,,,
"Bulgaria, 1858",,"Tajikistan:  Panj-Qumsangir, 2006",,,,42.8,23.2,,,37.255,68.828,,,,,,
"Albania:  Vlore, Kanina, 1858",,"China:  Sichuan Province, 2006",,,,40,20.1,,,28.012,104.151,,,,,,
"Turkey:  Antakya (Antioch), 557",,"Trinidad:  Gasparillo, 2006",,,,36.1,36.1,,,10.814,-61.758,,,,,,
"Turkey:  Istanbul (Constantinople), 555",,"Indonesia:  Sumabawa:  Bima, 2006",,,,41.04,28.98,,,-8.251,118.777,,,,,,
"Lebanon:  Bayrut (Beirut), 553",,"Indonesia:  Sumatera:  Northern, Muarasipongi, 2006",,,,33.9,35.5,,,0.626,99.859,,,,,,
"Syria:  Halab (Aleppo); Turkey:  Antakya (Antioch), 552",,"Taiwan:  Pingtung, 2006",,,,36.1,37.1,,,21.799,120.547,,,,,,
"Lebanon:  Bayrut (Beirut); Egypt; Iraq;Saudi Arabia, 551",,"Indonesia:  Molucca Islands:  N, 2007",,,,33.9,35.5,,,1.065,126.282,,,,,,
"Turkey:  Cyzicus, 543",,"Japan:  Honshu:  W Coast, 2007",,,,40.3,27.8,,,37.336,136.588,,,,,,
"Albania:  Durres, 522",,"China:  Yunnan Province:  Ning'Er, 2007",,,,41.2,19.3,,,23.028,101.052,,,,,,
"Turkey, 350",,"Japan:  Honshu:  W Coast, 2007",,,,41,30,,,37.57,138.478,,,,,,
"Greece:  Jannina (Epirus), 1867",,"Tajikistan:  Rasht, Asht, 2007",,,,39.8,20.8,,,38.936,70.485,,,,,,
"Turkey:  Iznik,Izmit, 29",,"Russia:  Tatar Strait, 2007",,,,40.5,28.9,,,47.116,141.798,,,,,,
"Italy:  Ancona, 558",,"Utah:  Huntington, 2007",,,,43.6,13.5,,,39.465,-111.237,,,,,,
"Greece:  Argostoli (Kephallenia), 1862",,"Utah, 2007",,,,38.3,20.5,,,39.464,-111.207,,,,,,
"Turkey, 11",,"Indonesia:  Sumatra, 2007",,,,37.8,27.4,,,-4.438,101.367,,,,,,
"Turkmenistan:  Nisa, 10",,"Pakistan:  Ghanche, 2007",,,,38,58.3,,,35.304,76.753,,,,,,
"Albania:  Vlore, Kanina, Narta, 1862",,"India:  Gujarat, 2007",,,,40.3,19.3,,,21.181,70.724,,,,,,
"Greece, 23",,"Philippines:  Bohol Island:  Mabini, 2007",,,,38.2,22.2,,,9.721,124.647,,,,,,
"Turkey:  Izmir, Efes, Aydin, Manisa, Alasehir, Sart, 17",,"Indonesia:  Sumbawa Island, 2007",,,,37.85,27.3,,,-8.277,118.339,,,,,,
"Turkey:  Harran,Kufa,Samsat,El-Sun, 1115",,"Martinique, 2007",,,,36.8,39,,,14.944,-61.274,,,,,,
"Turkey:  Lysimachia, -282",,"Brazil:  Minas Gerais, 2007",,,,41,27,,,-15.048,-44.231,,,,,,
"Italy:  Campania, 324",,"Algeria:  Oran, 2008",,,,40.5,14.5,,,35.616,-0.57,,,,,,
"Italy:  Lacus Cimini, -1450",,"Indonesia:  Sumatra:  Nias Island:  Gunungsitoli, 2008",,,,35.5,25.5,,,1.011,97.442,,,,,,
"Israel:  Ariha (Jericho), -1566",,"Congo:  Bukavu, 2008",,,,31.5,35.3,,,-2.296,28.9,,,,,,
"Greece:  Crete, 55",,"India:  West Bengal, 2008",,,,35,25,,,23.433,87.111,,,,,,
"Albania:  Durres, 334",,"Rwanda:  Gisenyi, 2008",,,,41.2,19.3,,,-2.404,28.918,,,,,,
"Greece:  Mount Taygetus, -550",,"Indonesia:  Sumatera:  Aceh Province, 2008",,,,37,22.5,,,2.768,95.964,,,,,,
"Albania:  Durres, 57",,"Colombia:  Meta, Quetame, 2008",,,,41.2,19.3,,,4.33,-73.764,,,,,,
"Albania:  Durres, 342",,"China:  Sichuan Province, 2008",,,,41.3,19.5,,,32.57,105.424,,,,,,
"Italy:  Campania, 344",,"Algeria:  Oran, 2008",,,,40.5,14.5,,,35.883,-0.658,,,,,,
"Russia:  Lake Baykal, 1862",,"Greece:  Achaia, Ileia, 2008",,,,52.3,106.7,,,37.963,21.525,,,,,,
"Greece-Albania, 527",,"Japan:  Honshu:  Tokyo, 2008",,,,40.1,20.8,,,39.03,140.881,,,,,,
"China:  Gansu Province, 180",,"Peru:  Arequipa, 2008",,,,39.4,99.5,,,-15.986,-71.748,,,,,,
"Virgin Islands, 1867",,"Japan:  Honshu:  N, 2008",,,,18.1,-65.1,,,39.802,141.464,,,,,,
"Turkey, 253",,"China:  Sichuan Province, 2008",,,,39.1,27.2,,,32.747,105.542,,,,,,
"Greece:  Crete, 251",,"China:  Sichuan Province, 2008",,,,35.5,25.5,,,32.756,105.494,,,,,,
"Greece:  Dodecanese Islands, 155",,"China:  Yunnan Province, 2008",,,,36.5,28.5,,,25.044,97.684,,,,,,
"Albania:  Vlore, Kanina, Narta, Himara, 1869",,"China:  Sichuan Province, 2008",,,,40.3,19.3,,,26.272,101.937,,,,,,
"Peru, 1861",,"Indonesia:  Sumatra:  Southern, 2008",,,,-13.8,-73.4,,,-3.935,103.058,,,,,,
"Italy:  Naples (Napoli), 79",,"Iran:  Hormozgan Province, 2008",,,,40.821,14.426,,,26.743,55.828,,,,,,
"Cyprus:  Paphos, Salamis, 76",,"India:  Maharashtra, 2008",,,,34.8,32,,,17.438,73.915,,,,,,
"Italy:  Pompei, 63",,"China:  Tibet (Xizang Province), 2008",,,,40.7,14.5,,,29.807,90.35,,,,,,
"Greece:  Dodecanese Islands, -227",,"Russia:  Caucasus:  Chechnya, 2008",,,,36.3,28.3,,,43.372,46.254,,,,,,
"Iraq:  Jazirah:  Ne Of Tharthar River, 749",,"Indonesia:  Minahassa Peninsula, 2008",,,,35,43.5,,,1.271,122.091,,,,,,
"Turkey, 105",,"Czech Republic:  Karvina, 2008",,,,39.5,27,,,49.914,18.455,,,,,,
"Greece, 1469",,"China:  Sichuan Province, 2008",,,,38.5,20.5,,,32.518,105.395,,,,,,
"Greece:  Crete, 796",,"Papua New Guinea:  Near North Coast, 2009",,,,35,25,,,-0.414,132.885,,,,,,
"Syria:  Dimashq (Damascus), 1284",,"Costa Rica:  La Paz, 2009",,,,33.3,36.2,,,10.165,-84.197,,,,,,
"Balkans Nw:  Croatia, 1280",,"Italy:  L'Aquila, 2009",,,,44.1,15.2,,,42.275,13.464,,,,,,
"Greece, 1625",,"Afghanistan:  Nangarhar, 2009",,,,38.8,20.8,,,34.185,70.076,,,,,,
"Italy:  Trapani, 1259",,"Honduras:  Northern; Belize, 2009",,,,38,12.5,,,16.72,-86.236,,,,,,
"Albania:  Durres, 1237",,"Kazakhstan:  Tekeli, 2009",,,,41.2,19.3,,,44.724,78.864,,,,,,
"Albania, 1237",,"China:  Chongqing Province:  Rongchang, 2009",,,,41.3,19.5,,,29.358,105.438,,,,,,
"Balkans Nw:  Croatia, 1323",,"Japan:  Honshu:  S Coast, 2009",,,,45.2,14.7,,,34.743,138.264,,,,,,
"Italy:  S. Germano, Montecassino, 1231",,"Bhutan:  Tashigang, 2009",,,,41.5,13.8,,,27.332,91.437,,,,,,
"Italy:  Siponto, 1223",,"Indonesia:  Sumatra:  Southern:  Kerinci, 2009",,,,41.6,15.9,,,-2.515,101.501,,,,,,
"Azores:  Sao Miguel (San Miguel), 1852",,"Afghanistan:  Hindu Kush, 2009",,,,37.5,-25.3,,,36.517,70.95,,,,,,
"Italy:  Cosenza, 1184",,"Indonesia:  Sumabawa:  Bima, 2009",,,,39.3,16.2,,,-8.207,118.631,,,,,,
"Syria:  Busra; Israel:  Palestine, 1182",,"South Africa:  Carletonville, 2009",,,,32.6,36.7,,,-26.414,27.494,,,,,,
"Balkans Nw:  Croatia, 1280",,"Malawi:  Karonga, 2009",,,,44.1,15.2,,,-9.948,33.878,,,,,,
"Italy:  Ariano, 1180",,"Malawi:  Karonga, 2009",,,,41.1,15.1,,,-10.108,33.818,,,,,,
"Balkans Nw:  Croatia, 1300",,"Indonesia:  Java:  Garut, 2010",,,,44.1,15.2,,,-7.907,107.879,,,,,,
"Russia:  Komandorsky Island, 1849",,"China:  Guizhou Province, 2010",,,,55,166,,,25.558,105.804,,,,,,
"Portugal:  Lisbon; Spain:  Sevilla, 1356",,"China:  Sichuan Province: Moxi, 2010",,,,36.8,-9,,,30.268,105.668,,,,,,
"Kazakhstan:  Cilik, Alma-Ata, 1889",,"Argentina:  Salta, 2010",,,,43.2,78.7,,,-24.872,-65.602,,,,,,
"Turkey:  Fethiye; Greece:  Rhodes, 1851",,"Mexico:  Baja California, 2010",,,,36.5,28.8,,,32.297,-115.278,,,,,,
"Turkmenistan, 1175",,"Afghanistan:  Samangan Province, 2010",,,,37.5,65.5,,,35.633,67.658,,,,,,
"Italy:  Montecassino, 1319",,"Algeria:  Northern:  Beni Yellman, 2010",,,,41.5,13.8,,,35.9,4.12,,,,,,
"Chile:  Copiapo, 1851",,"Mexico:  San Andres Huaxpaltepec, 2010",,,,-27.35,-70.35,,,16.396,-97.782,,,,,,
"Italy:  Rieti, 1298",,"Iran:  Farsinaj, 2010",,,,42.4,12.9,,,27.022,53.861,,,,,,
"Greece-Albania, 1153",,"Iran:  Damghan-Torud, 2010",,,,39.8,20.1,,,35.49,54.47,,,,,,
"Portugal:  Cabo San Vicente:  Sw, 1320",,"Iran:  Shiraz, 2010",,,,36,-10.7,,,29.647,51.665,,,,,,
"Greece:  Crete, 1306",,"Pakistan:  Khanpur, Haripur, 2010",,,,35.5,25.5,,,33.869,72.887,,,,,,
"Turkey, 1880",,"Iran:  Kerman, 2010",,,,38.6,27.1,,,28.412,59.18,,,,,,
"Algeria-Morocco, 881",,"Pakistan: Garhi Khairo, Quetta, Balochistan, 2011",,,,30,-6,,,28.777,63.951,,,,,,
"Philippines:  Nw Mindanao:  Surigao, 1879",,"Myanmar (Burma):  Monywa, 2011",,,,9.8,125.5,,,24.618,94.68,,,,,,
"Turkey, 867",,"China:  Yunnan Province:  Pingyuan, 2011",,,,41,29,,,24.719,97.969,,,,,,
"Turkmenistan:  Nisa, 953",,"Japan: Near E Coast Honshu, 2011",,,,38,58.3,,,38.276,141.588,,,,,,
"Balkans Nw:  Macedonia, 896",,"Japan:  Honshu, 2011",,,,41.7,22.9,,,37.001,140.401,,,,,,
"Balkans Nw:  Croatia, 1343",,"Spain:  Lorca, 2011",,,,44,15,,,37.699,-1.672,,,,,,
"Portugal:  Tavira, Algarve, 1856",,"Turkey:  Simav, 2011",,,,37.1,-8,,,39.12,29.04,,,,,,
"Tunisia:  Kairouan, Tunis, 854",,"New Zealand:  South Island:  Canterbury, 2011",,,,35.7,10.1,,,-43.564,172.743,,,,,,
"Italy:  Molise, Isernia, 847",,"Uzbekistan:  Fargona, Violyati, 2011",,,,41.6,14.2,,,40.081,71.41,,,,,,
"Turkey, 1876",,"Indonesia:  Sumatra, 2011",,,,38.8,30.5,,,2.965,97.893,,,,,,
"Turkey, 1875",,"Guatemala:  Cuilapa Santa Rosa, 2011",,,,40.2,26.4,,,14.186,-90.238,,,,,,
"Italy:  Padova, 802",,"Peru:  San Vicente De Canete, 2011",,,,45.4,11.9,,,-14.438,-75.966,,,,,,
"Italy:  Roma (Rome), 801",,"India:  Sikkim, 2011",,,,41.9,12.6,,,27.449,88.684,,,,,,
"Algeria, 1855",,"Turkey:  Van, 2011",,,,37.1,5.7,,,38.429,43.229,,,,,,
"Azores:  Faial, 1852",,"Mexico:  Guerrero, 2011",,,,38.3,-28.4,,,17.844,-99.963,,,,,,
"Italy:  Benevento, 1125",,"Chile:  Parral, Santiago, 2012",,,,41.1,14.8,,,-35.2,-72.217,,,,,,
"Balkans Nw:  Croatia, 1878",,"Indonesia:  N Sumatra:  Off West Coast, 2012",,,,46.2,16.8,,,2.327,93.063,,,,,,
"Italy:  Benevento, 990",,"Chile:  Valparaiso, 2012",,,,41.1,14.8,,,-32.625,-71.365,,,,,,
"Italy:  Boiano, 853",,"Tajikistan, 2012",,,,41.5,14.5,,,38.612,70.354,,,,,,
"Turkey, 1082",,"Italy:  Emilia Romagna:  Mirandola, 2012",,,,40.5,28.5,,,44.89,11.23,,,,,,
"Italy:  Fabriano, 1741",,"Italy:  Emilia Romagna:  Medolla, Mirandola, Cavezzo, 2012",,,,43.2,12.6,,,44.851,11.086,,,,,,
"Albania: Shkoder, Buchati, Zadrime, Jubani, Kosmaci, 1855",,"China:  Yunnan And Sichuan Provinces, 2012",,,,42,19.5,,,27.767,100.781,,,,,,
"Balkans Nw:  Croatia, 1880",,"China:  Jiangsu Province, 2012",,,,45.9,16.1,,,32.978,119.593,,,,,,
"Turkey, 1010",,"Indonesia: Banda Aceh, 2012",,,,41,29.5,,,2.707,96.045,,,,,,
"Greece:  Aegean Sea, 1881",,"Indonesia:  Sulawesi:  Sigi, Parigi Mountong, 2012",,,,38.4,26.1,,,-1.315,120.096,,,,,,
"Italy:  Potenza, 1273",,"Philippines:  Cagayan De Oro, Tacloban, 2012",,,,40.6,15.8,,,10.811,126.638,,,,,,
"Balkans Nw:  Serbia, 1740",,"Costa Rica:  Nicoya, 2012",,,,45.1,19.8,,,10.085,-85.315,,,,,,
"Greece:  S, 1742",,"Myanmar (Burma):  Shwebo, 2012",,,,37.8,21,,,23.005,95.885,,,,,,
"Russia:  Lake Baykal, 1742",,"Iran:  Khorasan Province, 2012",,,,53.3,104,,,33.506,59.571,,,,,,
"Greece:  S, 1742",,"Indonesia:  Sumatera:  N, 2013",,,,37.8,21,,,4.927,95.907,,,,,,
"Greece, 1741",,"Taiwan:  Nantou County, Taipei, 2013",,,,38.5,20.5,,,23.828,121.215,,,,,,
"China:  Sichuan Province, 1973",,"Iran:  Bushehr Province:  Shanbe, Kaki, Sena, 2013",,,,31.4,100.58,,,28.428,51.593,,,,,,
"Ecuador:  Pelileo, 1949",,"Iran; Pakistan:  Mashkal, 2013",,,,-1.4,-78.5,,,28.033,61.996,,,,,,
"Greece:  Dodecanese Islands, 1948",,"Texas:  West, 2013",,,,35.5,27,,,31.817,-97.088,,,,,,
