mission,company,location,date,time,rocket,price,successful
Turkmen??lem52E/MonacoSat,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-04-27,23:03:00,Falcon 9 v1.1,5080000,True
"Thor 7, SICRAL-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2015-04-26,20:00:00,Ariane 5 ECA,19620000,True
CRS-6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-04-15,20:10:00,Falcon 9 v1.1,20610000,True
IRNSS-1D,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2015-03-28,11:49:00,PSLV-XL,12340000,True
Galileo FOC FM03-FM04,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2015-03-27,21:46:00,Soyuz ST-B/Fregat-MT,22860000,True
ABS-3A & EUTELSAT 115 West B,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-03-02,3:50:00,Falcon 9 v1.1,16790000,True
DSCOVR,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-02-11,23:03:00,Falcon 9 v1.1,7310000,True
IXV,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2015-02-11,13:40:00,Vega,22140000,True
CRS-5,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2015-01-10,9:47:00,Falcon 9 v1.1,9230000,True
O3b FM09-FM12,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2014-12-18,18:37:00,Soyuz ST-B/Fregat-MT,7570000,True
Demo Flight (CARE),ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2014-12-18,4:00:00,GSLV Mk III,22510000,True
"DirecTV-14, GSAT-16",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2014-12-06,20:40:00,Ariane 5 ECA,9530000,True
CRS Orb-3,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2014-10-28,22:22:00,Antares 130,17800000,False
"Intelsat 30, ARSAT-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2014-10-16,21:43:00,Ariane 5 ECA,17310000,True
IRNSS-1C,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2014-10-16,20:02:00,PSLV-XL,8690000,True
CRS-4,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014-09-21,5:52:00,Falcon 9 v1.1,16620000,True
"MEASAT 3b, Optus 10",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2014-09-11,22:05:00,Ariane 5 ECA,1370000,True
AsiaSat 6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014-09-07,5:00:00,Falcon 9 v1.1,13010000,True
Galileo FOC FM01-FM02,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2014-08-22,12:27:00,Soyuz ST-B/Fregat-MT,12080000,False
AsiaSat 8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014-08-05,8:00:00,Falcon 9 v1.1,18770000,True
Georges Lema??tre ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2014-07-29,23:47:00,Ariane 5 ES,6540000,True
OG2 Mission 1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014-07-14,15:15:00,Falcon 9 v1.1,21620000,True
CRS Orb-2,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2014-07-13,16:52:00,Antares 120,3500000,True
O3b FM03/FM06-FM08,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2014-07-10,18:55:00,Soyuz ST-B/Fregat-MT,12510000,True
SPOT-7 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2014-06-30,4:22:00,PSLV-CA,16620000,True
KazEOSat-1,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2014-04-30,1:35:00,Vega,2460000,True
CRS-3,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014-04-18,19:25:00,Falcon 9 v1.1,3260000,True
IRNSS-1B,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2014-04-04,11:44:00,PSLV-XL,2470000,True
Sentinel 1A,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2014-04-03,21:02:00,Soyuz ST-A/Fregat-M,9110000,True
"Astra 5B, Amazonas 4A",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2014-03-22,22:04:00,Ariane 5 ECA,10900000,True
"ABS-2, Athena-Fidus",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2014-02-06,21:30:00,Ariane 5 ECA,3860000,True
CRS Orb-1,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2014-01-09,18:07:00,Antares 120,19800000,True
Thaicom 6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2014-01-06,22:06:00,Falcon 9 v1.1,23810000,True
GSAT-14,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2014-01-05,10:48:00,GSLV Mk II,9840000,True
Gaia,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2013-12-19,9:12:00,Soyuz ST-B/Fregat-MT,22770000,True
SES-8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2013-12-03,22:41:00,Falcon 9 v1.1,10400000,True
ORS-3,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2013-11-20,1:15:00,Minotaur I,19660000,True
Mars Orbiter Mission,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2013-11-05,9:08:00,PSLV-XL,8660000,True
CASSIOPE,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2013-09-29,16:00:00,Falcon 9 v1.1,21380000,True
CRS Orb-D1,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2013-09-13,14:58:00,Antares 110,15020000,True
LADEE,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2013-09-07,3:27:00,Minotaur V,6530000,True
"Eutelsat 25B/Es'hail 1, GSAT-7",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2013-08-29,20:30:00,Ariane 5 ECA,17660000,True
"Alphasat I-XL, INSAT-3D",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2013-07-25,19:54:00,Ariane 5 ECA,23340000,True
IRNSS-1A,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2013-07-01,18:11:00,PSLV-XL,11650000,True
IRIS,Northrop,"Stargazer, Vandenberg AFB, California, USA",2013-06-28,2:27:00,Pegasus XL,10990000,True
O3b FM01-FM02/FM04-FM05,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2013-06-25,19:27:00,Soyuz ST-B/Fregat-MT,18760000,True
Albert Einstein ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2013-06-05,21:52:00,Ariane 5 ES,10110000,True
"Proba-V, VNREDSat-1A & ESTCube-1",Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2013-05-07,2:06:00,Vega,21270000,True
Antares A-ONE,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2013-04-21,21:00:00,Antares 110,16720000,True
CRS-2,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2013-03-01,15:10:00,Falcon 9 v1.0,2530000,True
SARAL & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2013-02-25,12:31:00,PSLV-CA,14540000,True
"Amazonas-3, Azerspace-1 (Africasat-1A)",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2013-02-07,21:36:00,Ariane 5 ECA,12760000,True
"Skynet 5D, Mexsat-3",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2012-12-19,21:49:00,Ariane 5 ECA,4420000,True
Pl??iades 1B,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2012-12-02,2:02:00,Soyuz ST-A/Fregat,4040000,True
"Eutelsat 21B, Star One C3",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2012-11-10,21:05:00,Ariane 5 ECA,22350000,True
Galileo IOV FM03-FM04,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2012-10-12,15:15:00,Soyuz ST-B/Fregat-MT,6480000,True
CRS-1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2012-10-08,0:35:00,Falcon 9 v1.0,21520000,False
"Astra 2F, GSAT-10",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2012-09-28,21:18:00,Ariane 5 ECA,5690000,True
SPOT-6 & mRESINS & PROITERES,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2012-09-09,4:23:00,PSLV-CA,18620000,True
"Intelsat 20, HYLAS 2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2012-08-02,20:54:00,Ariane 5 ECA,5860000,True
"EchoStar XVII, MSG-3",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2012-07-05,21:36:00,Ariane 5 ECA,13520000,True
NuSTAR,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2012-06-13,16:00:00,Pegasus XL,18080000,True
COTS-2+,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2012-05-22,7:44:00,Falcon 9 v1.0,1050000,True
"JCSAT-13, Vinasat-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2012-05-15,22:13:00,Ariane 5 ECA,18690000,True
PSLV- C19 RISAT-1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2012-04-26,22:00:00,PSLV-XL,22850000,True
RISAT-1,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2012-04-26,0:17:00,PSLV-XL,1930000,True
Edoardo Amaldi ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2012-03-23,4:34:00,Ariane 5 ES,23750000,True
"Lares, AlmaSat-1 & 7 cubesats",ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",2012-02-13,10:00:00,Vega,16070000,True
"Pl??iades 1A, SSOT, Elisa",Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2011-12-17,2:03:00,Soyuz ST-A/Fregat,7330000,True
Fobos-Grunt & Yinghuo 1,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2011-11-08,20:16:00,Zenit-2 FG,24390000,True
Galileo IOV FM01-FM02,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2011-10-21,7:30:00,Soyuz ST-B/Fregat-MT,3910000,True
Megha-Tropiques & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2011-10-12,5:31:00,PSLV-CA,18130000,True
TacSat-4,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA",2011-09-27,15:49:00,Minotaur IV,14510000,True
"Arabsat-5C, SES-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2011-09-21,21:38:00,Ariane 5 ECA,6480000,True
"Astra 1N, BSAT-3C (JCSAT-110R)",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2011-08-06,22:52:00,Ariane 5 ECA,9930000,True
Spektr-R,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2011-07-18,2:31:00,Zenit-3 SLBF,20600000,True
GSAT-12,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2011-07-15,11:18:00,PSLV-XL,10080000,True
STS-135,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2011-07-08,15:29:00,Space Shuttle Atlantis,3880000,True
ORS-1,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2011-06-30,3:09:00,Minotaur I,5250000,True
"ST-2, GSAT-8",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2011-05-20,20:38:00,Ariane 5 ECA,23030000,True
STS-134,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2011-05-16,12:56:00,Space Shuttle Endeavour,3090000,True
"Yahsat 1A, Intelsat 28 (New Dawn)",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2011-04-22,21:37:00,Ariane 5 ECA,17580000,True
ResourceSat-2 & X-Sat & YouthSat,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2011-04-20,4:42:00,PSLV-G,12370000,True
"Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",Northrop,"SLC-576E, Vandenberg AFB, California, USA",2011-03-04,10:09:00,Minotaur C (Taurus),23110000,False
STS-133,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2011-02-24,21:53:00,Space Shuttle Discovery,5920000,True
Johannes Kepler ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2011-02-15,22:13:00,Ariane 5 ES,5770000,True
NROL-66,Northrop,"SLC-8, Vandenberg AFB, California, USA",2011-02-06,12:26:00,Minotaur I,18260000,True
Elektro-L n†­1,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",2011-01-20,12:29:00,Zenit-3 SLBF,1430000,True
"Koreasat 6, Hispasat-1E",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2010-12-29,21:27:00,Ariane 5 ECA,2770000,True
GSAT-5P,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2010-12-25,10:34:00,GSLV Mk I,17850000,False
COTS-1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2010-12-08,15:43:00,Falcon 9 v1.0,8190000,True
"Intelsat 17, HYLAS-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2010-11-26,18:39:00,Ariane 5 ECA,5500000,True
STP-S26,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA",2010-11-20,1:25:00,Minotaur IV,10140000,True
"Eutelsat W3B, BSAT-3B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2010-10-28,23:51:00,Ariane 5 ECA,2180000,True
SBSS,Northrop,"SLC-8, Vandenberg AFB, California, USA",2010-09-26,4:41:00,Minotaur IV,5900000,True
"Nilesat-201, Rascom-QAF 1R",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2010-08-04,20:45:00,Ariane 5 ECA,22850000,True
Cartosat-2B & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2010-07-12,3:52:00,PSLV-CA,10090000,True
"Arabsat-5A, COMS-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2010-06-26,21:41:00,Ariane 5 ECA,13080000,True
Flight 1,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2010-06-04,18:45:00,Falcon 9 v1.0,7060000,True
Astra 3B  & COMSATBw-2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2010-05-21,22:01:00,Ariane 5 ECA,6200000,True
STS-132,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2010-05-14,18:20:00,Space Shuttle Atlantis,4170000,True
Progress M-05M,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2010-04-28,17:15:00,Soyuz U,2530000,True
GSAT-4,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2010-04-15,10:57:00,GSLV Mk II,10110000,False
STS-131,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2010-04-05,10:21:00,Space Shuttle Discovery,9320000,True
Soyuz TMA-18,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2010-04-02,4:04:00,Soyuz FG,9770000,True
STS-130,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2010-02-08,9:14:00,Space Shuttle Endeavour,5960000,True
Soyuz-U,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2010-02-03,3:45:00,Soyuz U,6660000,True
Helios 2B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2009-12-18,16:26:00,Ariane 5 GS,1060000,True
STS-129,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-11-16,19:28:00,Space Shuttle Atlantis,7930000,True
NSS-12 & Thor-6,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2009-10-29,20:00:00,Ariane 5 ECA,12500000,True
Ares 1-X Test Flight,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2009-10-28,15:30:00,Ares 1-X,17790000,True
Amazonas 2 & COMSATBw-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2009-10-01,21:59:00,Ariane 5 ECA,24990000,True
Oceansat-2 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2009-09-23,6:21:00,PSLV-CA,21280000,True
STS-128,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-08-28,3:59:00,Space Shuttle Discovery,21820000,True
JCSAT-12 & Optus D3,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2009-08-21,22:09:00,Ariane 5 ECA,20630000,True
STS-127,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-07-15,22:03:00,Space Shuttle Endeavour,4270000,True
RazakSat,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2009-07-14,3:35:00,Falcon 1,24630000,True
TerreStar-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2009-07-01,19:52:00,Ariane 5 ECA,14470000,True
TacSat-3 / PharmaSat / AeroCube 3 / HawkSat I / CP6,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2009-05-19,23:55:00,Minotaur I,2510000,True
Herschel Space Observatory & Planck,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2009-05-14,13:12:00,Ariane 5 ECA,22370000,True
STS-125,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-05-11,18:01:00,Space Shuttle Atlantis,15590000,True
RISAT-2 & ANUSAT,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2009-04-20,1:15:00,PSLV-CA,23120000,True
STS-119,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-03-15,23:43:00,Space Shuttle Discovery,7340000,True
Orbiting Carbon Observatory,Northrop,"SLC-576E, Vandenberg AFB, California, USA",2009-02-24,9:55:00,Minotaur C (Taurus),3390000,False
"Hot Bird 10, NSS-9, Spirale-A & B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2009-02-12,22:09:00,Ariane 5 ECA,14340000,True
Hot Bird 9 & Eutelsat W2M,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2008-12-20,22:35:00,Ariane 5 ECA,11890000,True
STS-126,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-11-15,0:55:00,Space Shuttle Endeavour,23370000,True
Chandrayaan-1,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2008-10-22,0:52:00,PSLV-XL,3110000,True
IBEX,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2008-10-19,17:47:00,Pegasus XL,13130000,True
RatSat,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2008-09-28,23:15:00,Falcon 1,4740000,True
Superbird-7 & AMC-21,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2008-08-14,20:44:00,Ariane 5 ECA,14950000,True
Flight 3,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2008-08-03,3:34:00,Falcon 1,22950000,False
ProtoStar-1 & Badr-6,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2008-07-07,21:47:00,Ariane 5 ECA,1990000,True
Skynet 5C & Turksat 3A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2008-06-12,22:05:00,Ariane 5 ECA,24540000,True
STS-124,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-05-31,21:02:00,Space Shuttle Discovery,19420000,True
Cartosat-2A & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2008-04-28,3:53:00,PSLV-CA,1640000,True
Star One C2 & Vinasat-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2008-04-18,22:17:00,Ariane 5 ECA,23570000,True
C/NOFS,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2008-04-15,17:01:00,Pegasus XL,9590000,True
STS-123,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-03-11,6:28:00,Space Shuttle Endeavour,6380000,True
Jules Verne ATV,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2008-03-09,4:03:00,Ariane 5 ES,4240000,True
STS-122,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-02-07,19:45:00,Space Shuttle Atlantis,6840000,True
TecSAR,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2008-01-21,3:45:00,PSLV-CA,8700000,True
Rascom-QAF1 & Horizons-2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2007-12-21,21:41:00,Ariane 5 GS,13940000,True
Skynet 5B & Star One C1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2007-11-14,22:03:00,Ariane 5 ECA,4050000,True
STS-120,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2007-10-23,3:38:00,Space Shuttle Discovery,14150000,True
Intelsat 11 & Optus D2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2007-10-05,22:02:00,Ariane 5 GS,7260000,True
INSAT-4CR,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2007-09-02,12:51:00,GSLV Mk I,3550000,False
Spaceway-3 & BSat-3A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2007-08-14,23:44:00,Ariane 5 ECA,18140000,True
STS-118,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2007-08-08,22:36:00,Space Shuttle Endeavour,22350000,True
STS-117,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2007-06-08,23:38:00,Space Shuttle Atlantis,13230000,True
Astra 1L & Galaxy 17,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2007-05-04,22:29:00,Ariane 5 ECA,12010000,True
AIM,Northrop,"Stargazer, Vandenberg AFB, California, USA",2007-04-25,20:26:00,Pegasus XL,18070000,True
NFIRE,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2007-04-24,6:48:00,Minotaur I,2130000,True
AGILE & AAM,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2007-04-23,10:00:00,PSLV-CA,18470000,True
DemoSat,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2007-03-21,1:10:00,Falcon 1,3880000,False
Skynet 5A & INSAT-4B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2007-03-11,22:03:00,Ariane 5 ECA,23830000,True
Cartosat-2 & SRE-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2007-01-10,3:54:00,PSLV-G,17530000,True
TacSat-2 & GeneSat-1,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2006-12-16,12:00:00,Minotaur I,11960000,True
STS-116,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2006-12-10,0:47:00,Space Shuttle Discovery,12050000,True
WildBlue-1 & AMC-18,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2006-12-08,22:08:00,Ariane 5 ECA,1030000,True
"DirecTV-9S, Optus D1, LDREX-2",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2006-10-13,20:56:00,Ariane 5 ECA,2000000,True
STS-115,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2006-09-09,15:14:00,Space Shuttle Atlantis,18020000,True
JCSAT-10 & Syracuse 3B,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2006-08-11,22:15:00,Ariane 5 ECA,1440000,True
INSAT-4C,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2006-07-10,12:08:00,GSLV Mk I,22770000,False
STS-121,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2006-07-04,18:37:00,Space Shuttle Discovery,12690000,True
Satmex-6 & Thaicom-5,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2006-05-27,21:09:00,Ariane 5 ECA,3810000,True
Astra 1KR,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2006-04-20,20:27:00,Atlas V 411,18420000,True
COSMIC (FORMOSAT-3),Northrop,"SLC-8, Vandenberg AFB, California, USA",2006-04-15,1:40:00,Minotaur I,15810000,True
ST-5,Northrop,"Stargazer, Vandenberg AFB, California, USA",2006-03-28,20:10:00,Pegasus XL,11020000,True
FalconSat-2,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",2006-03-24,21:30:00,Falcon 1,4510000,False
Spainsat & Hot Bird 7A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2006-03-11,22:33:00,Ariane 5 ECA,20340000,True
New Horizons,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2006-01-19,19:00:00,Atlas V 551,2490000,True
INSAT-4A & MSG-2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2005-12-21,23:33:00,Ariane 5 GS,21130000,True
Spaceway-2 & Telkom-2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2005-11-16,23:46:00,Ariane 5 ECA,12200000,True
Syracuse 3A & Galaxy 15,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2005-10-13,22:32:00,Ariane 5 GS,11200000,True
Streak (STP-R1),Northrop,"SLC-8, Vandenberg AFB, California, USA",2005-09-22,19:24:00,Minotaur I,5210000,True
Mars Reconnaissance Orbiter,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2005-08-12,11:43:00,Atlas V 401,16050000,True
iPStar-1,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2005-08-11,8:20:00,Ariane 5 GS,7550000,True
STS-114,NASA,"LC-39B, Kennedy Space Center, Florida, USA",2005-07-26,14:39:00,Space Shuttle Discovery,1880000,True
Cartosat-1 & HAMSAT,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2005-05-05,4:45:00,PSLV-G,15760000,True
DART,Northrop,"Stargazer, Vandenberg AFB, California, USA",2005-04-15,17:27:00,Pegasus XL,14010000,True
XSS-11,Northrop,"SLC-8, Vandenberg AFB, California, USA",2005-04-11,13:35:00,Minotaur I,8780000,True
Inmarsat-4 F1,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2005-03-11,21:42:00,Atlas V 431,22480000,True
"XTAR-EUR, Maqsat-B2, Sloshsat-FLEVO",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2005-02-12,21:03:00,Ariane 5 ECA,20950000,True
"Helios 2A, Essaim-1,2,3,4, PARASOL, Nanosat 01",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2004-12-18,16:26:00,Ariane 5 G+,4700000,True
AMC-16,ILS,"SLC-41, Cape Canaveral AFS, Florida, USA",2004-12-17,12:07:00,Atlas V 521,23010000,True
GSAT-3,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2004-09-20,10:31:00,GSLV Mk I,23880000,True
Anik F2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2004-07-18,0:44:00,Ariane 5 G+,24600000,True
ROCSAT-2,Northrop,"SLC-576E, Vandenberg AFB, California, USA",2004-05-20,17:47:00,Minotaur C (Taurus),15630000,True
AMC-11,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2004-04-19,22:22:00,Atlas IIAS,18500000,True
Superbird 6,ILS,"SLC-36A, Cape Canaveral AFS, Florida, USA",2004-04-16,0:45:00,Atlas IIAS,8320000,True
MBSat,ILS,"SLC-36B, Cape Canaveral AFS, Florida, USA",2004-03-13,5:40:00,Atlas IIIA,24960000,True
Rosetta & Philae,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2004-03-02,7:17:00,Ariane 5 G+,17480000,True
